date,open,high,low,close,adjclose,volume
2018-01-12,176.18,177.36,175.65,177.09,177.09,25226000.0
2018-01-11,174.59,175.49,174.49,175.28,175.28,18667700.0
2018-01-10,173.16,174.3,173.0,174.29,174.29,23959900.0
2018-01-09,174.55,175.06,173.41,174.33,174.33,21584000.0
2018-01-08,174.35,175.61,173.93,174.35,174.35,20567800.0
2018-01-05,173.44,175.37,173.05,175.0,175.0,23660000.0
2018-01-04,172.54,173.47,172.08,173.03,173.03,22434600.0
2018-01-03,172.53,174.55,171.96,172.23,172.23,29517900.0
2018-01-02,170.16,172.3,169.26,172.26,172.26,25555900.0
2017-12-29,170.52,170.59,169.22,169.23,169.23,25999900.0
2017-12-28,171.0,171.85,170.48,171.08,171.08,16480200.0
2017-12-27,170.1,170.78,169.71,170.6,170.6,21498200.0
2017-12-26,170.8,171.47,169.68,170.57,170.57,33185500.0
2017-12-22,174.68,175.42,174.5,175.01,175.01,16349400.0
2017-12-21,174.17,176.02,174.1,175.01,175.01,20949900.0
2017-12-20,174.87,175.42,173.25,174.35,174.35,23475600.0
2017-12-19,175.03,175.39,174.09,174.54,174.54,27436400.0
2017-12-18,174.88,177.2,174.86,176.42,176.42,29421100.0
2017-12-15,173.63,174.17,172.46,173.97,173.97,40169300.0
2017-12-14,172.4,173.13,171.65,172.22,172.22,20476500.0
2017-12-13,172.5,173.54,172.0,172.27,172.27,23818400.0
2017-12-12,172.15,172.39,171.46,171.7,171.7,19409200.0
2017-12-11,169.2,172.89,168.79,172.67,172.67,35273800.0
2017-12-08,170.49,171.0,168.82,169.37,169.37,23355200.0
2017-12-07,169.03,170.44,168.91,169.32,169.32,25673300.0
2017-12-06,167.5,170.2,166.46,169.01,169.01,28560000.0
2017-12-05,169.06,171.52,168.4,169.64,169.64,27350200.0
2017-12-04,172.48,172.62,169.63,169.8,169.8,32542400.0
2017-12-01,169.95,171.67,168.5,171.05,171.05,39759300.0
2017-11-30,170.43,172.14,168.44,171.85,171.85,41527200.0
2017-11-29,172.63,172.92,167.16,169.48,169.48,41666400.0
2017-11-28,174.3,174.87,171.86,173.07,173.07,26428800.0
2017-11-27,175.05,175.08,173.34,174.09,174.09,20716800.0
2017-11-24,175.1,175.5,174.65,174.97,174.97,14026700.0
2017-11-22,173.36,175.0,173.05,174.96,174.96,25588900.0
2017-11-21,170.78,173.7,170.78,173.14,173.14,25131300.0
2017-11-20,170.29,170.56,169.56,169.98,169.98,16262400.0
2017-11-17,171.04,171.39,169.64,170.15,170.15,21899500.0
2017-11-16,171.18,171.87,170.3,171.1,171.1,23637500.0
2017-11-15,169.97,170.32,168.38,169.08,169.08,29158100.0
2017-11-14,173.04,173.48,171.18,171.34,171.34,24782500.0
2017-11-13,173.5,174.5,173.4,173.97,173.97,16982100.0
2017-11-10,175.11,175.38,174.27,174.67,174.67,25145500.0
2017-11-09,175.11,176.1,173.14,175.88,175.25,29482600.0
2017-11-08,174.66,176.24,174.33,176.24,175.61,24409500.0
2017-11-07,173.91,175.25,173.6,174.81,174.18,24361500.0
2017-11-06,172.37,174.99,171.72,174.25,173.63,35026300.0
2017-11-03,174.0,174.26,171.12,172.5,171.88,59398600.0
2017-11-02,166.6,168.5,165.28,168.11,167.51,41393400.0
2017-11-01,169.87,169.94,165.61,166.89,166.29,33637800.0
2017-10-31,167.9,169.65,166.94,169.04,168.43,36046800.0
2017-10-30,163.89,168.07,163.72,166.72,166.12,44700800.0
2017-10-27,159.29,163.6,158.7,163.05,162.47,44454200.0
2017-10-26,157.23,157.83,156.78,157.41,156.85,17000500.0
2017-10-25,156.91,157.55,155.27,156.41,155.85,21207100.0
2017-10-24,156.29,157.42,156.2,157.1,156.54,17757200.0
2017-10-23,156.89,157.69,155.5,156.17,155.61,21984300.0
2017-10-20,156.61,157.75,155.96,156.25,155.69,23974100.0
2017-10-19,156.75,157.08,155.02,155.98,155.42,42584200.0
2017-10-18,160.42,160.71,159.6,159.76,159.19,16374200.0
2017-10-17,159.78,160.87,159.23,160.47,159.9,18997300.0
2017-10-16,157.9,160.0,157.65,159.88,159.31,24121500.0
2017-10-13,156.73,157.28,156.41,156.99,156.43,16394200.0
2017-10-12,156.35,157.37,155.73,156.0,155.44,16125100.0
2017-10-11,155.97,156.98,155.75,156.55,155.99,16905600.0
2017-10-10,156.06,158.0,155.1,155.9,155.34,15617000.0
2017-10-09,155.81,156.73,155.49,155.84,155.28,16262900.0
2017-10-06,154.97,155.49,154.56,155.3,154.74,17407600.0
2017-10-05,154.18,155.44,154.05,155.39,154.83,21283800.0
2017-10-04,153.63,153.86,152.46,153.48,152.93,20163800.0
2017-10-03,154.01,155.09,153.91,154.48,153.93,16230300.0
2017-10-02,154.26,154.45,152.72,153.81,153.26,18698800.0
2017-09-29,153.21,154.13,152.0,154.12,153.57,26299800.0
2017-09-28,153.89,154.28,152.7,153.28,152.73,22005500.0
2017-09-27,153.8,154.72,153.54,154.23,153.68,25504200.0
2017-09-26,151.78,153.92,151.69,153.14,152.59,36660000.0
2017-09-25,149.99,151.83,149.16,150.55,150.01,44387300.0
2017-09-22,151.54,152.27,150.56,151.89,151.35,46645400.0
2017-09-21,155.8,155.8,152.75,153.39,152.84,37511700.0
2017-09-20,157.9,158.26,153.83,156.07,155.51,52951400.0
2017-09-19,159.51,159.77,158.44,158.73,158.16,20810600.0
2017-09-18,160.11,160.5,158.0,158.67,158.1,28269400.0
2017-09-15,158.47,160.97,158.0,159.88,159.31,49114600.0
2017-09-14,158.99,159.4,158.09,158.28,157.71,23760700.0
2017-09-13,159.87,159.96,157.91,159.65,159.08,44907400.0
2017-09-12,162.61,163.96,158.77,160.86,160.28,71714000.0
2017-09-11,160.5,162.05,159.89,161.5,160.92,31085900.0
2017-09-08,160.86,161.15,158.53,158.63,158.06,28611500.0
2017-09-07,162.09,162.24,160.36,161.26,160.68,21928500.0
2017-09-06,162.71,162.99,160.52,161.91,161.33,21651700.0
2017-09-05,163.75,164.25,160.56,162.08,161.5,29468500.0
2017-09-01,164.8,164.94,163.63,164.05,163.46,16591100.0
2017-08-31,163.64,164.52,163.48,164.0,163.41,26785100.0
