date,open,high,low,close,adjclose,volume
2018-01-12,100.86,101.03,99.93,100.97,100.97,3204200.0
2018-01-11,101.44,101.44,100.2,100.73,100.73,2745400.0
2018-01-10,100.39,101.59,100.33,101.22,101.22,2279200.0
2018-01-09,100.36,100.8,100.27,100.52,100.52,2978500.0
2018-01-08,101.0,101.2,100.12,100.15,100.15,1896500.0
2018-01-05,100.85,101.08,100.27,101.08,101.08,2550300.0
2018-01-04,100.03,101.65,99.91,100.85,100.85,3122000.0
2018-01-03,99.24,99.76,99.02,99.55,99.2,2976400.0
2018-01-02,99.73,99.73,98.22,98.94,98.59,2746700.0
2017-12-29,100.0,100.25,99.26,99.31,98.96,2056800.0
2017-12-28,99.64,99.91,99.36,99.7,99.35,1914900.0
2017-12-27,98.9,99.25,98.57,99.13,98.78,2569900.0
2017-12-26,98.8,98.92,98.13,98.57,98.22,1575200.0
2017-12-22,98.47,99.04,98.21,98.74,98.39,1980300.0
2017-12-21,99.05,99.19,98.37,98.5,98.15,2339500.0
2017-12-20,99.71,99.94,98.46,98.51,98.16,3091000.0
2017-12-19,100.21,100.39,99.12,99.15,98.8,3282600.0
2017-12-18,99.19,100.53,98.99,99.68,99.33,3485400.0
2017-12-15,97.78,98.84,97.44,98.52,98.17,7891800.0
2017-12-14,98.31,98.65,97.15,97.15,96.81,3464600.0
2017-12-13,99.12,99.31,97.76,97.78,97.44,3463900.0
2017-12-12,98.88,99.66,98.85,99.37,99.02,3455500.0
2017-12-11,98.6,99.04,98.24,99.0,98.65,2984100.0
2017-12-08,99.0,99.0,98.14,98.55,98.2,3850300.0
2017-12-07,97.76,99.12,97.48,98.58,98.23,3026100.0
2017-12-06,98.64,98.82,98.17,98.21,97.86,3081300.0
2017-12-05,99.2,99.75,98.58,98.71,98.36,3525600.0
2017-12-04,98.62,99.17,97.98,98.59,98.24,4562400.0
2017-12-01,98.08,98.22,95.85,97.86,97.52,3445200.0
2017-11-30,97.02,98.49,96.81,97.71,97.37,5328300.0
2017-11-29,95.96,97.32,95.6,96.6,96.26,4325500.0
2017-11-28,93.76,95.28,93.58,95.28,94.95,3536400.0
2017-11-27,93.57,94.0,93.36,93.47,93.14,2731300.0
2017-11-24,93.97,94.12,93.47,93.48,93.15,837300.0
2017-11-22,94.39,94.71,93.48,93.82,93.49,2159100.0
2017-11-21,94.42,94.65,94.12,94.41,94.08,2917000.0
2017-11-20,93.92,94.34,93.68,93.95,93.62,3456600.0
2017-11-17,93.31,93.76,92.92,93.69,93.36,3261200.0
2017-11-16,93.55,94.04,93.3,93.56,93.23,2586500.0
2017-11-15,93.27,93.79,92.8,93.26,92.93,3236600.0
2017-11-14,93.57,93.79,92.94,93.76,93.43,2843700.0
2017-11-13,93.0,93.98,92.78,93.9,93.57,2708500.0
2017-11-10,93.79,94.15,93.39,93.52,93.19,2714400.0
2017-11-09,94.34,94.66,93.28,93.75,93.42,3949800.0
2017-11-08,95.1,95.28,94.45,95.13,94.8,2163700.0
2017-11-07,96.42,96.9,95.18,95.37,95.03,3200900.0
2017-11-06,96.35,96.73,95.93,96.29,95.95,1848300.0
2017-11-03,96.28,96.43,95.78,96.43,96.09,2089500.0
2017-11-02,96.0,96.24,95.39,95.98,95.64,3013300.0
2017-11-01,96.29,96.57,95.44,95.79,95.45,2320000.0
2017-10-31,94.98,95.61,94.52,95.52,95.18,3146400.0
2017-10-30,95.73,96.12,94.84,95.07,94.74,3096500.0
2017-10-27,95.45,96.02,95.03,95.79,95.45,3212200.0
2017-10-26,93.99,95.73,93.98,95.69,95.35,4136800.0
2017-10-25,94.0,94.24,93.27,93.53,93.2,4266100.0
2017-10-24,92.6,93.93,92.33,93.86,93.53,4481500.0
2017-10-23,92.22,93.09,92.22,92.38,92.06,2963100.0
2017-10-20,92.84,93.29,91.97,92.09,91.77,4442200.0
2017-10-19,90.4,92.95,90.04,91.9,91.58,6512100.0
2017-10-18,91.8,92.27,91.68,92.08,91.76,4720200.0
2017-10-17,91.94,92.1,91.58,91.69,91.37,2939600.0
2017-10-16,93.04,93.35,90.81,91.96,91.64,4294000.0
2017-10-13,91.5,92.92,91.26,92.86,92.53,3224200.0
2017-10-12,91.63,92.23,91.42,91.61,91.29,3279000.0
2017-10-11,91.86,92.65,91.81,91.96,91.64,3051400.0
2017-10-10,91.88,92.34,91.78,91.89,91.57,2247200.0
2017-10-09,91.59,91.96,91.5,91.69,91.37,1653700.0
2017-10-06,91.25,91.59,91.09,91.55,91.23,1891800.0
2017-10-05,90.96,91.62,90.77,91.16,90.84,2991000.0
2017-10-04,91.6,91.61,90.91,91.01,90.34,3091700.0
2017-10-03,90.59,91.64,90.59,91.43,90.76,2912300.0
2017-10-02,90.44,91.17,90.1,90.54,89.87,4466400.0
2017-09-29,90.04,90.77,89.93,90.46,89.8,2996300.0
2017-09-28,89.23,90.31,89.23,90.14,89.48,2458800.0
2017-09-27,89.68,89.74,89.03,89.49,88.83,2888900.0
2017-09-26,88.47,88.77,88.2,88.69,88.04,2197800.0
2017-09-25,88.28,88.64,87.84,88.21,87.56,2863100.0
2017-09-22,88.3,88.71,88.1,88.4,87.75,2770100.0
2017-09-21,88.45,88.8,88.04,88.42,87.77,2877800.0
2017-09-20,89.25,89.38,88.27,88.43,87.78,4251000.0
2017-09-19,87.97,89.23,87.88,89.0,88.35,4043800.0
2017-09-18,87.08,87.87,86.95,87.87,87.22,3395100.0
2017-09-15,86.52,86.99,86.07,86.99,86.35,7791600.0
2017-09-14,86.54,86.8,86.16,86.19,85.56,2764900.0
2017-09-13,86.42,86.77,86.39,86.64,86.0,2396500.0
2017-09-12,85.97,86.6,85.81,86.55,85.91,3333300.0
2017-09-11,84.97,86.12,84.97,85.69,85.06,3397500.0
2017-09-08,84.18,85.01,84.02,84.25,83.63,3462100.0
2017-09-07,85.27,85.52,84.08,84.41,83.79,2905400.0
2017-09-06,85.57,85.84,85.0,85.23,84.6,2823300.0
2017-09-05,85.72,85.91,84.68,85.31,84.68,3089800.0
2017-09-01,86.31,86.54,86.05,86.14,85.51,2262700.0
2017-08-31,86.0,86.28,85.7,86.1,85.47,3792300.0
2017-08-30,85.38,85.74,85.22,85.69,85.06,2131700.0
2017-08-29,84.75,85.51,84.4,85.42,84.79,2779400.0
2017-08-28,85.66,85.69,85.21,85.41,84.78,2105500.0
2017-08-25,85.5,85.96,85.42,85.47,84.84,2302100.0
2017-08-24,85.49,85.53,85.04,85.36,84.73,2057900.0
