date,open,high,low,close,adjclose,volume
2018-01-12,330.38,336.88,330.38,336.21,336.21,6519400.0
2018-01-11,322.13,328.4,321.19,328.12,328.12,4635300.0
2018-01-10,317.49,322.15,315.5,320.26,320.26,4479300.0
2018-01-09,310.59,319.91,310.49,318.43,318.43,5641300.0
2018-01-08,308.66,310.86,305.75,310.15,310.15,4124900.0
2018-01-05,296.77,308.89,296.72,308.84,308.84,6177700.0
2018-01-04,297.94,298.42,295.47,296.67,296.67,4171700.0
2018-01-03,295.94,298.5,295.47,297.8,297.8,3211200.0
2018-01-02,295.75,296.99,295.4,296.84,296.84,2978900.0
2017-12-29,296.94,297.3,294.83,294.91,294.91,1824600.0
2017-12-28,295.81,296.99,294.74,296.35,296.35,1436800.0
2017-12-27,296.41,296.8,294.8,295.62,295.62,1447800.0
2017-12-26,295.54,297.44,294.65,295.36,295.36,1394700.0
2017-12-22,296.33,296.52,293.01,295.1,295.1,2257400.0
2017-12-21,298.05,298.39,294.13,295.03,295.03,5398300.0
2017-12-20,298.7,299.33,297.11,297.9,297.9,2533700.0
2017-12-19,296.5,297.58,294.18,297.25,297.25,2728400.0
2017-12-18,296.0,297.14,294.52,296.14,296.14,2901600.0
2017-12-15,295.87,297.37,293.02,293.94,293.94,6933500.0
2017-12-14,293.35,296.82,292.6,293.88,293.88,3913400.0
2017-12-13,290.5,295.85,289.7,291.84,291.84,5003300.0
2017-12-12,291.34,292.8,287.72,289.94,289.94,5517600.0
2017-12-11,286.21,286.49,279.9,283.16,283.16,4065200.0
2017-12-08,285.01,287.32,283.56,285.9,285.9,4440500.0
2017-12-07,282.81,284.79,277.8,281.97,281.97,4264400.0
2017-12-06,276.58,279.14,274.0,278.27,278.27,2538100.0
2017-12-05,279.01,279.44,274.86,275.54,275.54,2806100.0
2017-12-04,276.16,281.83,276.0,277.97,277.97,5523000.0
2017-12-01,277.51,278.73,270.6,271.38,271.38,4592500.0
2017-11-30,269.91,277.04,269.43,276.8,276.8,4820300.0
2017-11-29,269.48,269.68,266.15,269.3,269.3,3029100.0
2017-11-28,267.0,268.01,265.23,267.99,267.99,2262100.0
2017-11-27,265.38,266.84,264.72,265.58,265.58,1772200.0
2017-11-24,265.26,266.57,264.53,265.88,265.88,788900.0
2017-11-22,267.0,267.48,264.53,265.15,265.15,1471400.0
2017-11-21,266.24,267.0,264.71,266.99,266.99,2267100.0
2017-11-20,263.0,265.62,262.76,264.63,264.63,2447400.0
2017-11-17,262.82,263.74,262.03,262.26,262.26,1724800.0
2017-11-16,263.76,265.04,263.34,263.7,263.7,2710200.0
2017-11-15,261.42,264.77,260.15,262.86,262.86,2510500.0
2017-11-14,262.0,262.4,260.2,261.76,261.76,2358200.0
2017-11-13,261.67,263.36,260.49,262.42,262.42,2604100.0
2017-11-10,262.11,262.5,259.6,260.85,260.85,1740600.0
2017-11-09,265.01,266.75,259.56,262.7,262.7,3215900.0
2017-11-08,266.14,267.62,265.29,265.57,264.15,2841800.0
2017-11-07,264.07,267.28,264.07,266.13,264.71,3205400.0
2017-11-06,262.62,265.84,262.53,264.07,262.66,2911600.0
2017-11-03,262.42,263.79,260.08,261.75,260.35,2610800.0
2017-11-02,258.31,263.24,258.0,262.63,261.23,2529900.0
2017-11-01,258.29,259.41,256.24,258.5,257.12,2929500.0
2017-10-31,259.34,259.93,257.47,257.98,256.6,2742800.0
2017-10-30,255.45,260.41,255.33,259.25,257.86,3025900.0
2017-10-27,258.26,259.5,255.8,256.46,255.09,2899200.0
2017-10-26,259.72,261.44,257.31,259.27,257.88,3419100.0
2017-10-25,264.78,266.0,254.5,258.42,257.04,7895300.0
2017-10-24,263.24,267.21,263.24,266.0,264.58,4401600.0
2017-10-23,265.13,265.98,262.14,262.32,260.92,3302400.0
2017-10-20,260.36,264.83,259.44,264.75,263.33,3955900.0
2017-10-19,258.98,259.1,256.03,259.04,257.65,2589200.0
2017-10-18,258.47,260.73,256.66,260.04,258.65,2051700.0
2017-10-17,256.49,259.05,256.26,258.62,257.24,2515900.0
2017-10-16,261.5,262.0,259.69,259.75,258.36,1818900.0
2017-10-13,262.9,263.79,260.74,260.74,259.35,2243900.0
2017-10-12,260.95,262.98,260.0,261.91,260.51,2577900.0
2017-10-11,261.32,261.65,259.02,261.44,260.04,2890300.0
2017-10-10,259.74,261.06,257.2,260.93,259.53,2740700.0
2017-10-09,259.0,259.0,257.11,258.39,257.01,2146100.0
2017-10-06,258.0,258.9,257.06,258.58,257.2,2736400.0
2017-10-05,255.28,258.99,254.78,258.89,257.51,3940200.0
2017-10-04,256.12,257.13,254.07,255.76,254.39,3031000.0
2017-10-03,255.99,258.26,254.69,255.46,254.09,3163400.0
2017-10-02,254.65,255.99,253.53,255.99,254.62,2685100.0
2017-09-29,253.85,255.26,252.59,254.21,252.85,2531100.0
2017-09-28,254.11,255.8,251.17,254.27,252.91,2586100.0
2017-09-27,255.27,258.77,253.97,255.28,253.92,3840100.0
2017-09-26,254.6,256.48,253.54,253.7,252.34,2173600.0
2017-09-25,256.97,256.97,251.5,254.32,252.96,3479200.0
2017-09-22,256.31,259.3,256.13,256.45,255.08,3475600.0
2017-09-21,256.13,256.99,254.42,256.04,254.67,2809400.0
2017-09-20,253.26,256.69,252.25,255.46,254.09,3853200.0
2017-09-19,253.08,255.17,251.63,252.46,251.11,4124700.0
2017-09-18,249.97,253.79,248.91,253.08,251.73,5193000.0
2017-09-15,247.36,249.95,246.21,249.0,247.67,9033300.0
2017-09-14,243.0,245.61,242.5,245.23,243.92,4995200.0
2017-09-13,240.0,243.48,237.09,241.93,240.64,4529100.0
2017-09-12,240.59,241.71,238.95,240.58,239.29,2702700.0
2017-09-11,239.5,241.85,239.31,240.59,239.3,3628100.0
2017-09-08,235.75,239.39,235.21,238.78,237.5,3404200.0
2017-09-07,234.75,236.54,234.29,236.31,235.05,2994500.0
2017-09-06,237.53,237.86,234.34,234.62,233.37,4252700.0
2017-09-05,240.3,240.36,236.23,237.0,235.73,3866600.0
2017-09-01,239.66,242.53,239.17,240.33,239.04,3270700.0
2017-08-31,241.0,241.1,238.41,239.66,238.38,3075800.0
2017-08-30,240.99,241.44,239.0,240.46,239.17,2801100.0
2017-08-29,237.21,241.17,236.08,240.49,239.2,3535500.0
2017-08-28,236.22,237.55,234.61,237.18,235.91,2395000.0
2017-08-25,239.0,239.09,235.6,235.89,234.63,2270300.0
2017-08-24,238.52,238.9,236.6,238.74,237.46,2553100.0
2017-08-23,239.36,239.36,237.19,238.09,236.82,2518300.0
