date,open,high,low,close,adjclose,volume
2018-01-12,169.99,170.67,169.23,170.3,170.3,4107900.0
2018-01-11,166.9,169.53,165.64,169.2,169.2,4199000.0
2018-01-10,165.9,167.53,164.5,165.87,165.87,5478600.0
2018-01-09,166.33,167.41,165.09,166.43,166.43,4522900.0
2018-01-08,164.11,166.43,162.55,166.03,166.03,5929200.0
2018-01-05,160.26,162.05,159.64,161.96,161.96,3945400.0
2018-01-04,157.89,159.58,157.02,159.44,159.44,4865800.0
2018-01-03,157.04,157.49,155.4,157.28,157.28,4146100.0
2018-01-02,158.3,159.39,156.03,157.04,157.04,5108400.0
2017-12-29,158.05,158.5,157.51,157.58,157.58,2616100.0
2017-12-28,157.94,158.65,157.23,158.42,158.42,4064000.0
2017-12-27,156.94,157.69,156.31,157.52,157.52,2520500.0
2017-12-26,156.04,156.98,155.66,156.44,156.44,1870600.0
2017-12-22,154.77,155.8,153.95,155.75,155.75,2486400.0
2017-12-21,152.69,155.1,151.81,154.64,154.64,4017400.0
2017-12-20,151.93,152.6,150.7,152.52,152.52,3076000.0
2017-12-19,149.9,151.09,148.53,150.91,150.91,3554100.0
2017-12-18,147.75,149.81,146.8,149.77,149.77,3534800.0
2017-12-15,147.35,147.84,145.49,146.69,146.69,7931700.0
2017-12-14,148.85,149.0,145.88,146.28,146.28,4616900.0
2017-12-13,144.18,149.05,144.07,148.57,148.57,6486500.0
2017-12-12,144.04,144.8,143.21,143.42,143.42,3397100.0
2017-12-11,144.63,144.71,143.48,143.77,143.77,1913500.0
2017-12-08,143.87,144.32,142.93,143.86,143.86,2490100.0
2017-12-07,139.78,143.0,139.19,142.89,142.89,2977100.0
2017-12-06,140.15,141.14,139.5,140.34,140.34,2881400.0
2017-12-05,141.75,142.19,139.73,140.14,140.14,3884100.0
2017-12-04,144.25,145.19,141.44,141.5,141.5,4922300.0
2017-12-01,141.6,142.4,138.38,141.52,141.52,5481600.0
2017-11-30,138.9,141.33,137.11,141.15,141.15,7507800.0
2017-11-29,138.17,139.21,137.2,138.06,138.06,3098200.0
2017-11-28,137.51,139.0,137.27,138.99,138.99,2592700.0
2017-11-27,137.47,138.27,136.89,137.19,137.19,2585400.0
2017-11-24,138.1,138.42,137.34,137.39,137.39,944400.0
2017-11-22,138.22,138.42,137.2,138.01,138.01,4887500.0
2017-11-21,137.77,138.0,137.17,137.6,137.6,2221400.0
2017-11-20,136.44,137.81,136.25,136.91,136.91,2124000.0
2017-11-17,135.8,136.36,135.02,136.13,136.13,2312700.0
2017-11-16,135.47,137.41,135.1,136.36,136.36,2812900.0
2017-11-15,136.48,136.76,133.81,134.1,134.1,3746200.0
2017-11-14,138.0,138.12,136.47,137.54,137.54,3041300.0
2017-11-13,135.53,136.55,134.87,136.53,136.53,1894100.0
2017-11-10,135.09,136.89,135.07,136.48,136.48,2016900.0
2017-11-09,136.44,136.75,134.65,135.34,135.34,2940300.0
2017-11-08,138.4,138.75,137.18,137.29,137.29,1933300.0
2017-11-07,137.8,138.9,136.66,138.81,138.81,3222100.0
2017-11-06,136.8,138.45,136.79,137.71,137.71,2780900.0
2017-11-03,136.48,136.95,136.36,136.63,136.63,2105400.0
2017-11-02,136.42,136.99,135.69,136.47,136.47,2722600.0
2017-11-01,135.67,137.3,135.43,136.29,136.29,3629000.0
2017-10-31,136.5,136.62,135.08,135.8,135.8,3988300.0
2017-10-30,137.3,137.81,136.48,136.49,136.49,3044500.0
2017-10-27,136.92,138.4,136.9,137.81,137.81,4064600.0
2017-10-26,136.88,138.24,136.85,136.94,136.94,5745400.0
2017-10-25,137.21,137.83,134.79,136.84,136.84,7438600.0
2017-10-24,140.06,140.44,136.63,138.24,138.24,18886700.0
2017-10-23,131.95,132.34,131.16,131.68,131.68,5549500.0
2017-10-20,131.34,131.91,130.48,131.36,131.36,3086800.0
2017-10-19,131.0,131.63,129.4,131.55,130.77,4837600.0
2017-10-18,130.5,131.65,130.5,131.29,130.51,2511400.0
2017-10-17,131.14,131.47,130.32,130.54,129.77,2380300.0
