date,open,high,low,close,adjclose,volume
2018-01-12,40.22,40.93,40.05,40.87,40.87,23048600.0
2018-01-11,40.14,40.21,39.75,40.1,40.1,21685600.0
2018-01-10,39.65,40.24,39.63,39.91,39.91,19473000.0
2018-01-09,39.79,39.96,39.54,39.69,39.69,21449800.0
2018-01-08,39.52,39.96,39.35,39.94,39.94,16582000.0
2018-01-05,39.55,39.88,39.37,39.53,39.53,24588200.0
2018-01-04,39.05,39.54,38.93,38.99,38.99,20731400.0
2018-01-03,38.72,39.28,38.53,39.17,38.88,29536000.0
2018-01-02,38.67,38.95,38.43,38.86,38.57,20135700.0
2017-12-29,38.41,38.62,38.3,38.3,38.02,12583600.0
2017-12-28,38.73,38.73,38.45,38.59,38.3,8807700.0
2017-12-27,38.54,38.65,38.45,38.56,38.27,10543000.0
2017-12-26,38.55,38.68,38.36,38.48,38.2,8186100.0
2017-12-22,38.52,38.74,38.47,38.55,38.26,11441600.0
2017-12-21,38.88,38.99,38.49,38.53,38.24,16387500.0
2017-12-20,38.49,38.8,38.21,38.74,38.45,18939500.0
2017-12-19,38.66,38.86,38.28,38.3,38.02,19695200.0
2017-12-18,38.48,38.89,38.3,38.48,38.2,21591400.0
2017-12-15,38.01,38.28,37.7,38.19,37.91,47167700.0
2017-12-14,38.2,38.27,37.85,37.9,37.62,16738300.0
2017-12-13,38.09,38.37,38.0,38.15,37.87,20199500.0
2017-12-12,37.79,38.1,37.56,37.91,37.63,16658600.0
2017-12-11,37.59,38.04,37.57,37.96,37.68,16749500.0
2017-12-08,37.59,37.69,37.42,37.61,37.33,14044400.0
2017-12-07,37.26,37.78,37.26,37.4,37.12,17092000.0
2017-12-06,37.37,37.72,37.25,37.41,37.13,16581800.0
2017-12-05,37.74,37.82,37.17,37.31,37.03,23288200.0
2017-12-04,37.81,37.99,37.54,37.72,37.44,29414400.0
2017-12-01,37.09,37.66,36.73,37.6,37.32,26920900.0
2017-11-30,37.62,37.8,37.3,37.3,37.02,30749500.0
2017-11-29,37.75,38.03,37.23,37.48,37.2,36788600.0
2017-11-28,37.0,37.8,36.98,37.73,37.45,30966600.0
2017-11-27,36.51,37.09,36.5,36.87,36.6,20942200.0
2017-11-24,36.41,36.57,36.32,36.49,36.22,6155800.0
2017-11-22,36.7,36.72,36.36,36.45,36.18,17226400.0
2017-11-21,36.75,36.97,36.58,36.65,36.38,24146400.0
2017-11-20,35.93,36.54,35.93,36.5,36.23,26897800.0
2017-11-17,35.9,36.32,35.81,35.9,35.63,27988000.0
