date,open,high,low,close,adjclose,volume
2018-01-12,132.19,133.85,132.11,133.6,133.6,7205800.0
2018-01-11,128.92,133.32,128.76,132.57,132.57,11641300.0
2018-01-10,128.31,128.76,127.8,128.66,128.66,5292200.0
2018-01-09,128.43,128.94,127.79,127.84,127.84,4422300.0
2018-01-08,127.86,128.63,127.63,128.53,128.53,4826100.0
2018-01-05,127.97,128.1,127.1,127.9,127.9,4189200.0
2018-01-04,127.95,128.35,127.22,128.11,128.11,4598300.0
2018-01-03,127.46,128.94,126.9,128.51,128.51,5805500.0
2018-01-02,125.71,127.74,125.54,127.58,127.58,5626000.0
2017-12-29,125.36,125.98,125.19,125.19,125.19,3829000.0
2017-12-28,125.69,125.89,125.29,125.58,125.58,2191800.0
2017-12-27,125.96,126.2,125.13,125.55,125.55,3452300.0
2017-12-26,125.23,126.14,125.05,125.98,125.98,3348500.0
2017-12-22,124.85,125.65,124.57,124.98,124.98,4735100.0
2017-12-21,121.39,125.35,121.07,124.82,124.82,10109000.0
2017-12-20,120.28,121.3,119.65,120.89,120.89,6286700.0
2017-12-19,120.32,120.75,119.51,119.84,119.84,4599300.0
2017-12-18,119.92,121.29,119.62,119.7,119.7,4654100.0
2017-12-15,120.44,120.47,119.51,119.73,119.73,11226900.0
2017-12-14,119.81,120.28,119.5,119.53,119.53,3736900.0
2017-12-13,119.43,120.17,118.68,119.93,119.93,4399800.0
2017-12-12,119.81,120.74,119.56,119.68,119.68,4300200.0
2017-12-11,120.29,121.11,120.12,120.42,120.42,5929700.0
2017-12-08,119.96,120.24,119.1,119.92,119.92,4122200.0
2017-12-07,119.5,120.1,118.96,119.63,119.63,4908500.0
2017-12-06,119.99,120.88,119.52,119.61,119.61,4852500.0
2017-12-05,120.54,121.4,120.15,120.39,120.39,4380700.0
2017-12-04,119.81,122.3,119.37,120.84,120.84,7366400.0
2017-12-01,119.81,120.46,118.52,119.51,119.51,6831800.0
2017-11-30,117.26,119.15,117.23,118.99,118.99,7896600.0
2017-11-29,116.2,117.25,115.83,117.18,117.18,3661000.0
2017-11-28,115.92,116.81,115.74,116.45,116.45,4004700.0
2017-11-27,115.85,116.03,115.24,115.59,115.59,4490300.0
2017-11-24,116.55,116.85,116.31,116.51,116.51,1744200.0
2017-11-22,115.49,116.78,115.32,115.91,115.91,3951000.0
2017-11-21,115.14,115.86,114.92,115.17,115.17,4596000.0
2017-11-20,114.77,115.03,114.44,114.72,114.72,4634200.0
2017-11-17,114.67,114.99,113.9,114.71,114.71,4337500.0
2017-11-16,115.25,115.82,114.38,114.57,114.57,5888700.0
2017-11-15,116.21,117.23,116.07,116.45,115.37,5372600.0
2017-11-14,116.82,117.26,116.25,116.92,115.84,6996500.0
2017-11-13,117.22,117.77,116.68,117.23,116.14,4279200.0
2017-11-10,116.71,117.31,116.1,117.18,116.09,5156900.0
