date,open,high,low,close,adjclose,volume
2018-01-12,111.32,112.72,111.0,112.47,112.47,5881100.0
2018-01-11,110.25,111.08,109.51,110.99,110.99,6427000.0
2018-01-10,109.96,110.5,109.01,109.47,109.47,6060000.0
2018-01-09,110.13,110.86,109.86,109.94,109.94,5838000.0
2018-01-08,110.89,111.28,109.54,110.02,110.02,8052600.0
2018-01-05,112.68,112.68,111.24,111.62,111.62,6008300.0
2018-01-04,112.95,113.0,111.63,112.23,112.23,7417400.0
2018-01-03,112.19,113.19,111.45,112.28,112.28,9237900.0
2018-01-02,108.95,111.81,108.56,111.8,111.8,11014300.0
2017-12-29,108.05,108.34,107.51,107.51,107.51,4538400.0
2017-12-28,108.0,108.05,107.06,107.77,107.77,3477700.0
2017-12-27,108.42,108.55,107.46,107.64,107.64,5624000.0
2017-12-26,108.49,109.37,107.89,108.12,108.12,3982400.0
2017-12-22,109.49,109.69,108.45,108.67,108.67,7378400.0
2017-12-21,109.72,111.09,109.19,109.57,109.57,9372800.0
2017-12-20,111.62,112.3,109.69,109.69,109.69,8661100.0
2017-12-19,111.33,112.39,110.77,111.81,111.81,10546600.0
2017-12-18,111.84,111.99,110.31,111.03,111.03,12270000.0
2017-12-15,111.98,112.0,110.6,111.27,111.27,19978600.0
2017-12-14,107.29,111.54,107.2,110.57,110.57,27571300.0
2017-12-13,108.15,108.19,106.75,107.61,107.61,10368300.0
2017-12-12,107.14,107.83,106.59,107.43,107.43,8147000.0
2017-12-11,104.87,106.84,104.77,106.83,106.83,7434000.0
2017-12-08,104.91,104.98,104.08,104.23,104.23,6536600.0
2017-12-07,105.74,106.0,104.49,105.26,104.42,9948600.0
2017-12-06,107.17,107.99,105.36,105.46,104.62,8121700.0
2017-12-05,109.53,110.04,106.52,107.22,106.36,13055600.0
2017-12-04,106.5,112.67,106.5,110.22,109.34,17824000.0
2017-12-01,104.58,105.85,103.87,105.25,104.41,9258400.0
2017-11-30,105.36,105.71,104.47,104.82,103.98,9949000.0
2017-11-29,103.5,106.26,103.43,105.24,104.4,14503100.0
2017-11-28,102.56,103.88,102.17,103.41,102.58,8401100.0
2017-11-27,102.63,102.97,102.38,102.79,101.97,4007500.0
2017-11-24,102.91,102.92,102.45,102.64,101.82,2217600.0
2017-11-22,103.22,103.32,102.69,102.74,101.92,4140700.0
2017-11-21,102.97,103.17,102.79,103.0,102.18,5725900.0
2017-11-20,103.42,103.42,102.7,102.75,101.93,5112600.0
2017-11-17,103.22,103.99,102.97,103.44,102.61,7500800.0
2017-11-16,103.63,103.98,102.76,103.6,102.77,6410900.0
2017-11-15,102.75,103.96,102.45,103.69,102.86,5691500.0
2017-11-14,104.57,104.57,103.0,103.17,102.35,6929300.0
2017-11-13,104.14,105.14,103.98,104.74,103.9,7856000.0
2017-11-10,104.99,106.24,104.08,104.78,103.94,16701500.0
2017-11-09,100.83,103.91,100.8,102.68,101.86,13172500.0
2017-11-08,101.88,102.0,100.42,101.18,100.37,8023200.0
2017-11-07,101.29,102.9,100.74,101.61,100.8,12177500.0
2017-11-06,98.37,101.13,98.35,100.64,99.84,14728700.0
2017-11-03,98.36,99.38,97.9,98.64,97.85,5416900.0
2017-11-02,98.87,99.12,98.02,98.35,97.57,6799200.0
2017-11-01,98.13,99.46,98.0,99.03,98.24,6920400.0
2017-10-31,97.94,98.09,97.38,97.81,97.03,5701700.0
2017-10-30,98.12,98.33,97.7,98.04,97.26,7093200.0
2017-10-27,97.9,98.36,96.89,98.31,97.53,7868700.0
2017-10-26,97.58,99.48,97.25,98.56,97.77,6167500.0
2017-10-25,98.05,98.22,97.45,97.8,97.02,5144400.0
2017-10-24,98.52,98.86,98.06,98.29,97.51,4966200.0
2017-10-23,99.12,99.18,98.63,98.7,97.91,5888200.0
2017-10-20,99.45,99.66,98.94,99.4,98.61,5938700.0
2017-10-19,98.19,99.3,98.11,99.01,98.22,5634300.0
2017-10-18,98.36,98.49,97.55,98.25,97.47,5404300.0
