date,open,high,low,close,adjclose,volume
2018-01-12,75.57,75.63,74.99,75.41,75.41,4809800.0
2018-01-11,74.4,75.23,74.21,75.22,75.22,5956900.0
2018-01-10,75.0,75.37,73.9,74.2,74.2,7134600.0
2018-01-09,74.94,76.34,74.66,75.34,75.34,7573400.0
2018-01-08,75.34,75.49,74.47,75.16,75.16,5822400.0
2018-01-05,74.5,75.54,74.49,75.42,75.42,9140200.0
2018-01-04,73.17,74.74,73.14,74.45,74.45,9716600.0
2018-01-03,72.01,73.14,71.69,73.05,73.05,7885800.0
2018-01-02,71.57,72.19,71.4,71.9,71.9,7430600.0
2017-12-29,71.81,71.85,71.22,71.22,71.22,4745600.0
2017-12-28,71.38,71.63,70.89,71.51,71.51,4343300.0
2017-12-27,71.65,71.75,71.29,71.44,71.44,4259600.0
2017-12-26,72.11,72.17,71.31,71.44,71.44,3231000.0
2017-12-22,71.85,72.35,71.76,72.11,72.11,4378400.0
2017-12-21,71.63,71.8,71.01,71.64,71.64,7250300.0
2017-12-20,71.65,72.06,71.24,71.27,71.27,5837700.0
2017-12-19,71.4,71.75,71.22,71.42,71.42,5166900.0
2017-12-18,70.46,71.69,70.24,71.39,71.39,7101900.0
2017-12-15,70.07,70.44,69.86,70.0,70.0,16367700.0
2017-12-14,70.65,70.93,70.07,70.32,70.32,7043100.0
2017-12-13,70.68,71.05,70.42,70.56,70.56,9708500.0
2017-12-12,70.72,71.15,70.67,70.79,70.79,9231700.0
2017-12-11,71.27,71.41,70.68,70.81,70.81,6637400.0
2017-12-08,71.03,71.52,70.32,70.73,70.73,8554900.0
2017-12-07,71.43,71.5,70.85,71.37,71.37,6199500.0
2017-12-06,71.66,71.79,70.95,71.08,71.08,5718700.0
2017-12-05,72.94,73.2,71.5,71.54,71.54,8653900.0
2017-12-04,71.72,72.99,71.5,72.13,72.13,8568700.0
2017-12-01,72.32,72.61,70.67,71.01,71.01,7635500.0
2017-11-30,71.82,72.83,71.44,71.96,71.96,8947500.0
2017-11-29,71.17,71.93,70.87,71.78,71.78,6437700.0
2017-11-28,70.3,71.2,70.13,71.09,71.09,8536600.0
2017-11-27,71.03,71.05,70.02,70.13,70.13,6865400.0
2017-11-24,70.6,71.39,70.53,71.16,71.16,2636200.0
2017-11-22,71.35,71.38,70.6,70.6,70.6,6404000.0
2017-11-21,71.4,71.78,71.1,71.26,71.26,8091900.0
2017-11-20,70.66,71.27,70.54,70.85,70.85,5600200.0
2017-11-17,70.65,71.21,70.5,70.74,70.74,8784100.0
2017-11-16,69.36,70.77,69.07,70.68,70.68,9595800.0
2017-11-15,68.22,69.14,68.0,68.97,68.97,14901100.0
2017-11-14,69.8,69.93,68.33,68.57,68.57,8133000.0
2017-11-13,69.44,70.65,69.31,70.46,70.08,6484600.0
2017-11-10,70.23,70.49,69.74,69.97,69.59,7127100.0
2017-11-09,70.5,70.54,70.01,70.23,69.85,4544500.0
2017-11-08,71.31,71.5,70.71,70.81,70.43,6091400.0
2017-11-07,70.89,71.15,70.32,71.14,70.76,6719000.0
2017-11-06,71.4,71.73,70.13,70.24,69.86,9271000.0
2017-11-03,72.09,72.27,70.86,71.16,70.78,8619100.0
2017-11-02,72.02,73.2,71.56,72.04,71.65,10314300.0
2017-11-01,73.11,73.58,72.32,73.32,72.92,7968500.0
2017-10-31,71.91,72.47,71.6,72.31,71.92,6007600.0
2017-10-30,72.32,72.61,71.52,71.68,71.29,5860800.0
2017-10-27,73.0,73.1,72.23,72.54,72.15,8587300.0
2017-10-26,72.33,73.85,72.03,73.05,72.66,16847000.0
2017-10-25,71.86,72.1,70.93,71.09,70.71,7636600.0
2017-10-24,71.84,72.12,71.61,71.86,71.47,10364800.0
2017-10-23,71.95,72.18,71.4,71.55,71.16,11205300.0
2017-10-20,71.2,71.39,71.0,71.18,70.8,7374300.0
2017-10-19,70.65,71.08,70.29,70.89,70.51,6006400.0
2017-10-18,70.86,70.97,70.56,70.78,70.4,4755200.0
2017-10-17,70.8,70.94,70.53,70.88,70.5,5606700.0
2017-10-16,71.8,71.81,70.81,70.93,70.55,4337000.0
2017-10-13,71.53,71.7,71.15,71.43,71.04,5136200.0
2017-10-12,71.5,71.63,71.21,71.4,71.01,4464700.0
2017-10-11,71.5,71.63,70.92,71.62,71.23,5091100.0
2017-10-10,71.56,71.75,71.16,71.57,71.18,4829000.0
2017-10-09,71.2,71.88,71.0,71.68,71.29,5278800.0
2017-10-06,70.8,71.23,70.62,71.22,70.84,4247300.0
2017-10-05,70.82,71.0,70.24,70.97,70.59,5481600.0
2017-10-04,70.58,70.91,70.44,70.45,70.07,5999200.0
2017-10-03,70.41,70.62,69.9,70.36,69.98,6796300.0
2017-10-02,69.4,70.42,69.15,70.42,70.04,6044600.0
2017-09-29,69.0,69.41,68.57,69.23,68.86,5746600.0
2017-09-28,68.44,69.07,67.77,69.06,68.69,7885700.0
2017-09-27,69.52,69.52,68.27,68.8,68.43,7044000.0
2017-09-26,70.26,70.48,69.33,69.35,68.98,5244300.0
2017-09-25,70.07,70.38,69.21,70.34,69.96,6419200.0
2017-09-22,70.14,70.23,69.68,69.96,69.58,4078800.0
2017-09-21,70.41,70.5,70.1,70.32,69.94,4450100.0
2017-09-20,70.28,70.5,69.66,70.41,70.03,6812400.0
2017-09-19,70.02,70.11,69.64,70.05,69.67,6713300.0
2017-09-18,70.0,70.37,69.62,69.77,69.39,7193100.0
2017-09-15,70.26,70.7,69.5,69.86,69.48,32382100.0
2017-09-14,69.6,70.3,69.22,70.02,69.64,12264800.0
2017-09-13,68.9,69.6,68.29,69.5,69.13,9223600.0
2017-09-12,68.2,69.25,67.8,68.52,68.15,14631000.0
2017-09-11,65.25,67.16,65.2,66.85,66.49,11567000.0
2017-09-08,64.9,65.2,64.64,64.85,64.5,8100000.0
2017-09-07,64.6,64.95,64.22,64.68,64.33,6382500.0
2017-09-06,65.2,65.33,64.01,64.87,64.52,10345900.0
2017-09-05,67.02,67.17,64.98,64.98,64.63,10534000.0
2017-09-01,66.66,67.3,65.66,67.18,66.82,7341100.0
2017-08-31,65.06,66.65,65.04,66.65,66.29,43802100.0
2017-08-30,63.85,64.98,63.75,64.9,64.55,4321000.0
2017-08-29,64.36,64.42,64.04,64.22,63.87,3168100.0
2017-08-28,64.72,64.82,64.28,64.67,64.32,4408100.0
2017-08-25,64.59,64.74,64.27,64.54,64.19,2676500.0
2017-08-24,64.59,64.82,64.31,64.35,64.0,2952900.0
2017-08-23,64.5,65.18,64.5,64.58,64.23,4814400.0
