date,open,high,low,close,adjclose,volume
2018-01-12,19.12,19.15,18.7,18.76,18.76,86868300.0
2018-01-11,19.23,19.39,19.0,19.02,19.02,99725600.0
2018-01-10,18.59,19.06,18.58,18.93,18.93,82322200.0
2018-01-09,18.33,18.66,18.11,18.56,18.56,66400200.0
2018-01-08,18.67,18.7,18.1,18.28,18.28,82097600.0
2018-01-05,18.86,18.87,18.5,18.54,18.54,79879700.0
2018-01-04,18.38,18.62,18.3,18.53,18.53,82554500.0
2018-01-03,18.3,18.34,18.03,18.15,18.15,81472300.0
2018-01-02,17.58,17.99,17.53,17.98,17.98,77570300.0
2017-12-29,17.27,17.53,17.27,17.45,17.45,76149500.0
2017-12-28,17.35,17.4,17.25,17.36,17.36,60934900.0
2017-12-27,17.46,17.63,17.31,17.38,17.38,60126700.0
2017-12-26,17.45,17.66,17.4,17.43,17.43,55337900.0
2017-12-22,17.51,17.56,17.4,17.5,17.38,46370400.0
2017-12-21,17.46,17.69,17.44,17.47,17.35,67877700.0
2017-12-20,17.63,17.65,17.36,17.45,17.33,75365000.0
2017-12-19,17.77,17.8,17.55,17.59,17.47,65496100.0
2017-12-18,17.87,18.05,17.75,17.76,17.64,53913400.0
2017-12-15,17.78,17.83,17.66,17.82,17.7,88381900.0
2017-12-14,17.77,17.82,17.64,17.64,17.52,48545800.0
2017-12-13,17.92,17.99,17.76,17.76,17.64,42104500.0
2017-12-12,17.95,18.04,17.65,17.91,17.79,66832400.0
2017-12-11,17.61,17.79,17.53,17.65,17.53,58171200.0
2017-12-08,17.72,17.82,17.66,17.71,17.59,54443500.0
2017-12-07,17.81,18.06,17.63,17.71,17.59,55584700.0
2017-12-06,17.61,17.84,17.6,17.66,17.54,43913600.0
2017-12-05,17.78,18.01,17.67,17.76,17.64,65814900.0
2017-12-04,18.0,18.06,17.88,17.95,17.83,68347900.0
2017-12-01,18.28,18.28,17.86,17.88,17.76,82027600.0
2017-11-30,18.56,18.59,18.18,18.29,18.16,68055400.0
2017-11-29,18.45,18.54,18.31,18.48,18.35,55159500.0
2017-11-28,18.17,18.44,18.06,18.41,18.28,56115400.0
2017-11-27,18.34,18.5,18.09,18.12,18.0,78852400.0
2017-11-24,18.38,18.38,18.15,18.19,18.07,24897700.0
2017-11-22,18.15,18.25,17.84,18.15,18.03,54846800.0
2017-11-21,17.95,18.07,17.7,17.83,17.71,77918900.0
2017-11-20,17.95,18.13,17.83,17.98,17.86,63934100.0
2017-11-17,18.34,18.47,18.21,18.21,18.09,60457200.0
2017-11-16,18.48,18.48,18.05,18.25,18.12,89376600.0
2017-11-15,17.51,18.38,17.5,18.26,18.13,144368000.0
2017-11-14,18.79,18.88,17.46,17.9,17.78,312556800.0
2017-11-13,20.26,20.75,18.75,19.02,18.89,261557400.0
2017-11-10,19.98,20.68,19.9,20.49,20.35,100732900.0
2017-11-09,20.04,20.07,19.85,19.99,19.85,50850500.0
2017-11-08,20.21,20.32,20.07,20.12,19.98,39682500.0
2017-11-07,20.17,20.25,20.12,20.21,20.07,41661200.0
2017-11-06,20.52,20.53,20.08,20.13,19.99,60679500.0
2017-11-03,19.92,20.33,19.86,20.14,20.0,67861000.0
2017-11-02,20.05,20.08,19.63,19.94,19.8,81531700.0
2017-11-01,20.07,20.52,19.96,20.02,19.88,91714400.0
2017-10-31,20.26,20.4,20.05,20.16,20.02,98007100.0
2017-10-30,20.62,20.72,20.26,20.41,20.27,98385500.0
2017-10-27,21.26,21.3,20.64,20.79,20.65,98534600.0
2017-10-26,21.57,21.65,21.2,21.32,21.17,86283700.0
2017-10-25,21.84,21.89,21.3,21.5,21.35,110518200.0
2017-10-24,22.12,22.31,21.75,21.89,21.74,133615900.0
2017-10-23,23.44,23.44,22.18,22.32,22.17,187340900.0
2017-10-20,22.14,23.84,22.1,23.83,23.67,192404400.0
2017-10-19,23.14,23.78,23.05,23.58,23.42,75574100.0
2017-10-18,23.2,23.28,23.07,23.12,22.96,34970700.0
2017-10-17,23.22,23.25,23.0,23.19,23.03,58639100.0
2017-10-16,22.99,23.48,22.93,23.36,23.2,49757800.0
2017-10-13,23.15,23.23,22.96,22.98,22.82,40391800.0
2017-10-12,23.05,23.09,22.83,23.05,22.89,59948700.0
2017-10-11,23.13,23.27,22.9,23.07,22.91,81172900.0
2017-10-10,23.7,23.86,23.32,23.36,23.2,80571100.0
2017-10-09,24.1,24.15,23.25,23.43,23.27,140302800.0
2017-10-06,24.41,24.54,24.13,24.39,24.22,40729800.0
2017-10-05,24.39,24.57,24.15,24.54,24.37,34758900.0
2017-10-04,24.88,24.89,24.43,24.48,24.31,32149400.0
2017-10-03,24.61,24.83,24.33,24.8,24.63,33907500.0
2017-10-02,24.22,24.61,24.1,24.57,24.4,42501200.0
2017-09-29,24.22,24.29,24.01,24.18,24.01,33673700.0
2017-09-28,24.39,24.45,24.16,24.24,24.07,36154400.0
2017-09-27,25.0,25.05,24.28,24.37,24.2,56489000.0
2017-09-26,25.15,25.21,24.92,24.93,24.76,40753200.0
2017-09-25,24.92,25.18,24.85,25.11,24.94,42488000.0
