date,open,high,low,close,adjclose,volume
2018-01-12,255.75,257.3,254.09,257.03,257.03,2829600.0
2018-01-11,255.75,255.89,252.97,255.13,255.13,2422400.0
2018-01-10,255.0,255.15,252.35,254.33,254.33,2927200.0
2018-01-09,252.8,255.6,252.62,253.94,253.94,2637300.0
2018-01-08,254.75,255.18,251.62,251.81,251.81,2940500.0
2018-01-05,257.18,257.49,253.69,255.52,255.52,2594700.0
2018-01-04,255.23,259.72,254.32,256.83,256.83,2583200.0
2018-01-03,255.48,256.14,253.22,253.29,253.29,2988200.0
2018-01-02,257.77,257.91,253.92,255.67,255.67,2258300.0
2017-12-29,255.87,256.65,252.91,254.76,254.76,2519300.0
2017-12-28,256.98,257.0,255.1,256.5,256.5,1301000.0
2017-12-27,257.98,257.98,255.52,255.95,255.95,1567900.0
2017-12-26,258.19,259.2,256.0,257.72,257.72,1289300.0
2017-12-22,261.66,262.14,257.72,258.97,258.97,2100600.0
2017-12-21,256.61,262.09,256.28,261.01,261.01,3337800.0
2017-12-20,258.87,259.09,254.55,255.18,255.18,2052400.0
2017-12-19,261.6,261.8,256.18,256.48,256.48,2195500.0
2017-12-18,260.0,262.0,259.16,260.02,260.02,2575600.0
2017-12-15,256.7,258.97,254.76,257.17,257.17,5283400.0
2017-12-14,257.13,259.55,255.48,255.48,255.48,3353200.0
2017-12-13,257.81,260.5,255.56,255.56,255.56,3482300.0
2017-12-12,250.81,258.2,250.69,257.68,257.68,3464200.0
2017-12-11,250.0,251.4,248.76,250.13,250.13,1494200.0
2017-12-08,250.5,250.68,247.2,250.35,250.35,1959100.0
2017-12-07,244.62,249.48,244.4,248.56,248.56,2667000.0
2017-12-06,246.24,248.08,245.13,245.95,245.95,2331400.0
2017-12-05,250.8,251.35,247.41,248.33,248.33,2526800.0
2017-12-04,254.89,254.9,250.01,250.65,250.65,3326100.0
2017-12-01,249.78,250.68,244.01,248.95,248.95,4765400.0
2017-11-30,244.07,250.79,244.0,247.64,247.64,6364600.0
2017-11-29,241.25,244.47,240.4,241.36,241.36,4500000.0
2017-11-28,236.09,240.0,234.33,239.41,238.66,3212900.0
2017-11-27,235.75,236.88,234.8,235.11,234.37,1999600.0
2017-11-24,237.42,238.56,235.55,235.95,235.21,1268500.0
2017-11-22,237.94,238.95,236.36,236.43,235.69,2177200.0
2017-11-21,239.41,239.59,237.54,238.02,237.27,2223800.0
2017-11-20,238.78,238.78,237.11,238.13,237.38,2000700.0
2017-11-17,238.86,239.08,237.12,238.02,237.27,2826400.0
2017-11-16,238.38,240.69,238.2,239.37,238.62,2304300.0
2017-11-15,234.97,238.15,233.55,237.61,236.87,2564100.0
2017-11-14,239.65,240.88,235.63,237.24,236.5,3000200.0
2017-11-13,237.97,240.9,237.16,240.27,239.52,1953900.0
2017-11-10,241.69,243.32,240.0,240.15,239.4,1845600.0
2017-11-09,239.51,242.37,237.84,240.79,240.04,2122400.0
2017-11-08,239.2,242.32,237.55,241.25,240.49,2349800.0
2017-11-07,243.91,244.98,238.84,239.81,239.06,2483900.0
2017-11-06,243.5,244.58,241.67,243.49,242.73,1744800.0
2017-11-03,245.37,246.28,243.19,244.4,243.63,1954600.0
2017-11-02,244.69,247.74,243.38,246.88,246.11,2509100.0
2017-11-01,243.89,247.4,242.91,244.26,243.49,2969600.0
2017-10-31,240.68,244.18,240.63,242.48,241.72,2658700.0
2017-10-30,240.1,242.59,239.53,240.89,240.14,1764400.0
2017-10-27,240.85,242.44,239.67,241.71,240.95,2111500.0
2017-10-26,242.61,244.0,241.53,241.72,240.96,1948800.0
2017-10-25,246.16,246.5,240.8,241.71,240.95,2904300.0
2017-10-24,243.6,246.25,243.0,244.84,244.07,2285300.0
2017-10-23,244.39,245.33,241.38,242.13,241.37,1963300.0
2017-10-20,242.95,245.25,240.67,244.73,243.96,3022800.0
2017-10-19,240.35,240.99,238.1,239.99,239.24,2710900.0
2017-10-18,236.87,242.65,236.87,242.03,241.27,4235900.0
2017-10-17,244.44,244.89,235.19,236.09,235.35,7088400.0
2017-10-16,238.6,242.76,238.35,242.41,241.65,2969200.0
2017-10-13,239.0,239.45,236.84,238.53,237.78,2491000.0
2017-10-12,242.33,243.42,238.75,239.8,239.05,2148200.0
2017-10-11,242.0,243.2,241.35,242.4,241.64,2175700.0
2017-10-10,242.8,243.73,241.7,242.6,241.84,2187100.0
2017-10-09,245.15,246.35,242.02,242.8,242.04,2165200.0
2017-10-06,246.3,247.08,244.61,246.02,245.25,2396100.0
2017-10-05,241.0,246.32,240.12,246.06,245.29,3521300.0
2017-10-04,241.62,242.88,240.12,240.31,239.56,1840400.0
2017-10-03,241.07,242.71,239.69,241.62,240.86,2010800.0
2017-10-02,237.2,241.1,237.1,240.65,239.9,2501300.0
2017-09-29,235.01,237.6,234.57,237.19,236.45,1902300.0
2017-09-28,235.0,236.2,233.5,235.47,234.73,2121800.0
2017-09-27,234.07,235.6,232.91,234.76,234.02,3072100.0
2017-09-26,230.86,231.44,229.03,229.94,229.22,1770000.0
2017-09-25,230.77,231.86,228.36,230.26,229.54,2261800.0
2017-09-22,230.64,231.49,228.88,231.03,230.31,1861800.0
2017-09-21,229.89,232.1,229.4,231.29,230.57,1800800.0
2017-09-20,229.5,231.65,228.5,229.79,229.07,2682300.0
2017-09-19,228.01,230.14,227.33,228.91,228.19,1858000.0
2017-09-18,226.3,229.0,225.66,227.53,226.82,2466800.0
2017-09-15,227.15,227.21,223.82,225.22,224.51,4365800.0
2017-09-14,226.1,228.1,226.05,226.85,226.14,1986600.0
2017-09-13,225.25,227.14,224.72,226.56,225.85,2383500.0
2017-09-12,222.54,227.69,222.02,225.95,225.24,3745800.0
2017-09-11,220.07,221.89,218.99,221.06,220.37,2971500.0
2017-09-08,215.51,219.28,215.4,217.21,216.53,3120900.0
2017-09-07,218.73,218.81,214.64,215.84,215.16,3594600.0
2017-09-06,218.98,221.02,217.61,218.83,218.14,3613600.0
2017-09-05,223.85,224.0,217.3,217.78,217.1,5646200.0
2017-09-01,224.55,227.56,223.53,225.88,225.17,2346900.0
2017-08-31,223.25,224.49,222.58,223.74,223.04,2240600.0
2017-08-30,220.25,224.22,220.09,222.42,221.72,2411400.0
2017-08-29,217.27,220.13,215.75,219.96,219.27,2369100.0
2017-08-28,222.91,223.09,218.86,220.35,218.91,2641600.0
2017-08-25,223.64,224.95,222.13,222.47,221.02,2232500.0
2017-08-24,223.77,224.57,222.59,222.99,221.53,2263000.0
