date,open,high,low,close,adjclose,volume
2018-01-12,195.5,199.42,194.82,196.42,196.42,6726300.0
2018-01-11,191.68,194.73,191.4,194.68,194.68,3899200.0
2018-01-10,192.76,193.22,191.65,191.8,191.8,3119500.0
2018-01-09,192.7,193.47,191.64,193.1,193.1,3012300.0
2018-01-08,191.72,193.72,191.6,192.04,192.04,3508500.0
2018-01-05,190.93,192.54,190.51,192.5,192.5,4224800.0
2018-01-04,189.87,190.87,188.47,190.51,190.51,4047400.0
2018-01-03,188.0,189.36,187.82,189.01,189.01,4530500.0
2018-01-02,190.21,190.72,188.01,188.03,188.03,4684700.0
2017-12-29,190.74,190.74,189.53,189.53,189.53,4637800.0
2017-12-28,190.91,190.98,189.64,189.78,189.78,3175700.0
2017-12-27,190.6,191.49,190.01,190.19,190.19,5912600.0
2017-12-26,188.53,190.42,188.34,190.36,190.36,2969200.0
2017-12-22,188.46,188.46,187.27,188.13,188.13,3256600.0
2017-12-21,187.89,188.84,187.44,188.08,188.08,5859100.0
2017-12-20,187.0,187.9,186.04,187.31,187.31,5383700.0
2017-12-19,185.24,186.72,184.6,185.98,185.98,4576300.0
2017-12-18,183.5,185.47,183.5,184.73,184.73,5011900.0
2017-12-15,182.99,183.21,182.13,182.58,182.58,8202200.0
2017-12-14,183.59,184.0,182.06,182.13,182.13,3542500.0
2017-12-13,182.01,183.67,182.0,183.03,183.03,5177400.0
2017-12-12,182.75,183.21,181.66,181.8,181.8,5275500.0
2017-12-11,181.86,182.96,181.12,182.25,182.25,6038900.0
2017-12-08,182.5,183.9,182.16,183.41,183.41,5092100.0
2017-12-07,180.05,182.58,179.77,182.0,182.0,5484300.0
2017-12-06,180.25,182.15,178.68,180.8,180.8,6892500.0
2017-12-05,182.72,184.91,182.26,182.85,182.85,6347600.0
2017-12-04,183.19,186.31,183.19,184.9,184.9,6193800.0
2017-12-01,180.32,180.6,176.7,180.42,180.42,4683400.0
2017-11-30,178.07,180.67,177.41,179.82,179.82,9180700.0
2017-11-29,176.57,178.43,175.68,177.25,177.25,4902200.0
2017-11-28,174.89,176.77,172.99,176.57,175.68,6049000.0
2017-11-27,172.87,174.91,172.38,174.16,173.28,4539100.0
2017-11-24,172.11,173.1,171.74,172.33,171.46,1853600.0
2017-11-22,172.89,172.94,172.04,172.06,171.19,4133500.0
2017-11-21,170.53,172.86,170.15,172.86,171.99,6229000.0
2017-11-20,168.14,170.69,167.8,170.45,169.59,4699900.0
2017-11-17,167.0,168.43,166.06,167.74,166.89,4530100.0
2017-11-16,166.68,167.76,166.06,167.5,166.66,4587900.0
2017-11-15,167.44,167.44,165.35,165.47,164.64,5534500.0
2017-11-14,163.62,168.14,163.15,168.06,167.21,10284000.0
2017-11-13,164.64,166.64,164.25,165.35,164.52,7189300.0
2017-11-10,163.34,164.58,162.93,164.11,163.28,3554900.0
2017-11-09,164.1,164.14,162.28,163.27,162.45,3405200.0
2017-11-08,163.34,164.68,163.27,164.05,163.22,2912900.0
2017-11-07,164.09,164.4,162.83,163.66,162.84,3198100.0
2017-11-06,164.8,164.88,163.01,164.22,163.39,3275500.0
2017-11-03,163.01,164.99,162.68,164.39,163.56,3080900.0
2017-11-02,165.01,165.01,160.53,162.71,161.89,6518900.0
2017-11-01,166.42,166.74,165.12,165.38,164.55,3568300.0
2017-10-31,165.4,166.34,165.1,165.78,164.94,2922400.0
2017-10-30,166.99,166.99,164.88,165.31,164.48,3906300.0
2017-10-27,166.8,167.75,166.46,167.34,166.5,3720400.0
2017-10-26,166.39,167.94,166.11,167.65,166.8,3750500.0
2017-10-25,166.11,166.95,165.38,166.07,165.23,4189400.0
2017-10-24,164.67,166.46,164.65,166.03,165.19,3686700.0
2017-10-23,164.04,166.27,163.75,164.74,163.91,3995100.0
2017-10-20,163.97,164.15,162.74,163.43,162.61,4166500.0
2017-10-19,163.5,164.11,162.77,163.24,162.42,2676100.0
2017-10-18,163.42,164.24,163.35,163.45,162.63,2757900.0
2017-10-17,164.22,164.92,161.51,163.35,162.53,4189200.0
2017-10-16,164.47,164.67,163.26,164.22,163.39,2586700.0
2017-10-13,164.92,166.07,164.35,164.47,163.64,3259000.0
2017-10-12,165.41,165.41,164.47,164.59,163.76,3397800.0
2017-10-11,165.19,165.87,164.45,165.25,164.42,2319300.0
2017-10-10,165.7,165.8,164.64,165.16,164.33,2755400.0
2017-10-09,166.14,166.63,165.42,165.71,164.87,2131800.0
2017-10-06,166.18,166.63,165.74,165.85,165.01,2916300.0
2017-10-05,165.07,166.25,164.26,166.12,165.28,3504900.0
2017-10-04,165.49,166.08,164.91,165.29,164.46,2746500.0
2017-10-03,164.06,165.28,164.0,165.17,164.34,3046400.0
2017-10-02,164.2,164.25,163.22,164.02,163.19,2721400.0
2017-09-29,162.5,163.61,162.15,163.56,162.74,3467400.0
2017-09-28,160.72,162.45,160.66,162.36,161.54,4614100.0
2017-09-27,161.38,161.69,160.14,160.92,160.11,3966200.0
2017-09-26,161.55,162.0,160.79,161.26,160.45,3222600.0
2017-09-25,160.05,161.43,159.75,161.1,160.29,4897700.0
2017-09-22,159.14,160.09,159.01,159.97,159.16,3576500.0
2017-09-21,158.87,159.56,158.72,159.19,158.39,3082100.0
2017-09-20,157.57,159.39,157.36,158.68,157.88,4599200.0
2017-09-19,157.8,158.32,157.16,157.66,156.87,3713400.0
2017-09-18,159.0,159.0,157.69,157.81,157.01,4010600.0
2017-09-15,159.98,159.99,158.29,158.4,157.6,9124200.0
2017-09-14,160.35,160.85,159.33,159.38,158.58,5290800.0
2017-09-13,160.39,161.38,159.55,160.02,159.21,4713700.0
2017-09-12,159.06,160.93,158.71,159.91,159.1,5794600.0
2017-09-11,158.42,158.74,156.22,158.37,157.57,8847900.0
2017-09-08,159.09,160.69,157.52,159.66,158.86,10088600.0
2017-09-07,158.17,159.28,156.79,157.93,157.13,8273100.0
2017-09-06,154.86,157.03,154.15,156.56,155.77,8126000.0
2017-09-05,151.71,153.92,151.7,152.93,152.16,7488800.0
2017-09-01,150.26,150.94,149.76,150.78,150.02,3383000.0
2017-08-31,150.61,150.93,149.85,149.87,149.11,6083300.0
2017-08-30,150.0,150.25,149.28,150.0,149.24,3641000.0
2017-08-29,150.07,150.9,149.03,149.84,149.08,5368700.0
2017-08-28,151.94,152.39,150.43,151.39,149.74,6845400.0
2017-08-25,148.51,150.53,148.4,149.65,148.02,3048000.0
