date,open,high,low,close,adjclose,volume
2018-01-12,164.02,164.74,163.03,163.14,163.14,5007300.0
2018-01-11,164.8,164.94,163.3,164.2,164.2,3794500.0
2018-01-10,162.91,164.33,162.5,164.18,164.18,4174100.0
2018-01-09,163.9,164.53,163.06,163.83,163.83,4341800.0
2018-01-08,162.66,163.91,161.7,163.47,163.47,5237500.0
2018-01-05,162.44,162.9,161.1,162.49,162.49,5195800.0
2018-01-04,159.65,162.32,159.37,161.7,161.7,7556200.0
2018-01-03,157.34,159.81,156.33,158.49,158.49,9441600.0
2018-01-02,154.5,154.81,153.54,154.25,154.25,4202500.0
2017-12-29,154.17,154.72,153.42,153.42,153.42,3327100.0
2017-12-28,153.2,154.12,153.2,154.04,154.04,2687600.0
2017-12-27,152.95,153.18,152.61,153.13,153.13,2149300.0
2017-12-26,152.51,153.86,152.5,152.83,152.83,2479000.0
2017-12-22,151.82,153.0,151.5,152.5,152.5,2990600.0
2017-12-21,153.17,153.46,151.49,151.5,151.5,4153900.0
2017-12-20,153.65,153.89,152.78,152.95,152.95,3785700.0
2017-12-19,154.05,154.17,153.09,153.23,153.23,4116400.0
2017-12-18,153.59,154.18,153.21,153.33,153.33,5092800.0
2017-12-15,153.61,153.8,152.03,152.5,152.5,11279900.0
2017-12-14,154.6,155.11,153.7,154.0,154.0,4637400.0
2017-12-13,156.6,156.73,153.89,153.91,153.91,5661600.0
2017-12-12,157.3,157.85,155.16,156.74,156.74,6321800.0
2017-12-11,155.46,155.89,154.57,155.41,155.41,4102700.0
2017-12-08,154.98,155.03,153.55,154.81,154.81,3520300.0
2017-12-07,153.59,154.45,153.26,153.57,153.57,3771100.0
2017-12-06,154.1,156.22,154.09,154.1,154.1,3410700.0
2017-12-05,156.45,156.74,154.68,155.35,155.35,5068000.0
2017-12-04,155.96,156.8,155.07,156.46,156.46,4664300.0
2017-12-01,154.4,155.02,152.91,154.76,154.76,5567900.0
2017-11-30,153.65,154.41,153.08,153.97,153.97,6500800.0
2017-11-29,152.81,153.61,152.17,153.55,153.55,5098700.0
2017-11-28,152.35,152.93,151.7,152.47,152.47,3973700.0
2017-11-27,152.06,152.49,151.62,151.98,151.98,3374000.0
2017-11-24,151.95,152.2,151.33,151.84,151.84,1193000.0
2017-11-22,152.0,152.39,151.33,151.77,151.77,3213600.0
2017-11-21,151.3,152.45,151.2,151.95,151.95,3756200.0
2017-11-20,150.64,151.95,149.9,150.51,150.51,5676500.0
2017-11-17,149.34,150.15,148.83,148.97,148.97,4916500.0
2017-11-16,147.73,149.65,147.5,149.12,149.12,5446500.0
2017-11-15,148.0,148.71,146.21,147.1,147.1,4773300.0
2017-11-14,147.95,148.97,147.49,148.89,148.89,3758000.0
2017-11-13,148.88,149.0,147.92,148.4,148.4,5107500.0
2017-11-10,150.65,150.89,149.14,149.16,149.16,4307300.0
2017-11-09,149.93,151.8,149.86,150.3,150.3,4776500.0
2017-11-08,151.6,151.79,150.28,151.57,150.07,4634400.0
2017-11-07,151.37,151.51,150.5,151.35,149.85,3701100.0
2017-11-06,151.77,151.82,150.28,150.84,149.35,4498400.0
2017-11-03,153.42,153.47,151.49,151.58,150.08,4431800.0
2017-11-02,154.18,154.49,152.91,153.35,151.83,3397600.0
2017-11-01,154.1,154.9,153.83,154.03,152.51,3240200.0
2017-10-31,154.33,154.93,152.93,154.06,152.54,4328300.0
2017-10-30,153.76,154.59,152.71,154.36,152.83,4210400.0
2017-10-27,154.54,154.63,152.91,153.68,152.16,4895200.0
2017-10-26,154.31,155.12,153.54,153.6,152.08,4300500.0
2017-10-25,156.01,156.37,153.06,153.5,151.98,6921100.0
