date,open,high,low,close,adjclose,volume
2018-01-12,43.45,43.6,43.01,43.24,43.24,29906000.0
2018-01-11,42.8,43.58,42.45,43.41,43.41,35371500.0
2018-01-10,43.33,43.6,42.44,42.5,42.5,45735000.0
2018-01-09,44.7,44.84,43.49,43.62,43.62,44282300.0
2018-01-08,44.27,44.84,43.96,44.74,44.74,33733800.0
2018-01-05,44.43,45.15,43.9,44.74,44.74,41824000.0
2018-01-04,43.52,44.65,42.69,44.43,44.43,89209100.0
2018-01-03,45.47,46.21,43.65,45.26,45.26,116479000.0
2018-01-02,46.38,46.9,46.21,46.85,46.85,23370800.0
2017-12-29,46.21,46.49,46.09,46.16,46.16,17394500.0
2017-12-28,46.36,46.36,45.95,46.22,46.22,9504400.0
2017-12-27,46.11,46.36,46.0,46.11,46.11,13359700.0
2017-12-26,46.28,46.47,45.95,46.08,46.08,15533300.0
2017-12-22,46.33,47.02,46.02,46.7,46.7,33913500.0
2017-12-21,47.54,47.59,46.56,46.76,46.76,42963500.0
2017-12-20,47.47,47.64,46.66,47.56,47.56,40935000.0
2017-12-19,46.3,47.26,45.89,47.04,47.04,41421100.0
2017-12-18,45.15,46.35,45.04,46.26,46.26,50369300.0
2017-12-15,43.4,44.84,43.07,44.56,44.56,47477000.0
2017-12-14,43.43,43.57,43.02,43.26,43.26,19644900.0
2017-12-13,43.65,43.66,43.24,43.34,43.34,21399500.0
2017-12-12,43.47,43.62,43.08,43.33,43.33,16557400.0
2017-12-11,43.28,43.78,43.25,43.66,43.66,20425900.0
2017-12-08,43.35,43.58,43.11,43.35,43.35,23154700.0
2017-12-07,43.46,43.6,42.78,43.08,43.08,32708400.0
2017-12-06,43.14,43.72,42.67,43.45,43.45,27710800.0
2017-12-05,44.6,44.9,43.23,43.44,43.44,30626900.0
2017-12-04,45.02,45.3,44.33,44.49,44.49,28000800.0
2017-12-01,44.73,44.84,43.53,44.68,44.68,26656300.0
2017-11-30,44.36,45.2,44.33,44.84,44.84,34145300.0
2017-11-29,44.85,45.09,43.77,43.95,43.95,27036900.0
2017-11-28,44.65,44.84,44.32,44.73,44.73,20194100.0
2017-11-27,44.42,44.61,44.27,44.49,44.49,18202100.0
2017-11-24,44.55,44.78,44.43,44.75,44.75,6465800.0
2017-11-22,44.94,44.95,44.54,44.65,44.65,19538300.0
2017-11-21,44.72,45.22,44.71,44.94,44.94,21871000.0
2017-11-20,44.73,45.12,44.5,44.62,44.62,22420000.0
2017-11-17,45.5,45.62,44.62,44.63,44.63,63798000.0
2017-11-16,45.63,46.07,45.46,45.65,45.65,26439400.0
2017-11-15,45.39,45.81,45.17,45.46,45.46,17157200.0
2017-11-14,45.7,45.92,45.32,45.86,45.86,22201200.0
2017-11-13,45.26,45.94,45.25,45.75,45.75,18999000.0
2017-11-10,46.04,46.09,45.38,45.58,45.58,24095400.0
2017-11-09,46.05,46.39,45.65,46.3,46.3,25570400.0
2017-11-08,46.62,46.7,46.28,46.7,46.7,21565800.0
2017-11-07,46.7,47.09,46.39,46.78,46.78,24461400.0
2017-11-06,46.6,46.74,46.09,46.7,46.7,34035000.0
2017-11-03,47.2,47.3,45.6,46.34,46.07,39298100.0
2017-11-02,46.61,47.23,46.21,47.1,46.82,44602300.0
2017-11-01,45.97,46.71,45.59,46.71,46.43,47813700.0
2017-10-31,45.2,45.8,44.65,45.49,45.22,47000900.0
2017-10-30,44.48,45.19,43.88,44.37,44.11,48161500.0
2017-10-27,43.3,45.0,43.1,44.4,44.14,90028300.0
2017-10-26,40.91,41.58,40.71,41.35,41.11,38247400.0
2017-10-25,40.89,41.06,40.49,40.78,40.54,24031700.0
2017-10-24,41.0,41.05,40.72,40.95,40.71,19652400.0
2017-10-23,40.55,41.04,40.4,40.83,40.59,28647000.0
2017-10-20,40.33,40.45,40.1,40.43,40.19,18335700.0
2017-10-19,39.88,40.33,39.83,40.09,39.85,19222700.0
2017-10-18,39.8,40.29,39.6,40.25,40.01,21424600.0
2017-10-17,39.56,39.87,39.37,39.79,39.56,15532800.0
2017-10-16,39.71,39.79,39.44,39.76,39.53,12489100.0
2017-10-13,39.44,39.81,39.28,39.67,39.44,16829400.0
2017-10-12,39.35,39.39,38.98,39.19,38.96,18286900.0
2017-10-11,39.48,39.67,39.06,39.3,39.07,30754700.0
2017-10-10,39.93,39.95,39.38,39.65,39.42,29890000.0
2017-10-09,39.68,39.88,39.52,39.86,39.63,18494100.0
2017-10-06,39.6,39.89,39.42,39.63,39.4,18887500.0
2017-10-05,39.5,39.65,39.21,39.53,39.3,17710300.0
2017-10-04,39.39,39.4,38.86,39.34,39.11,28368800.0
2017-10-03,38.95,39.7,38.95,39.38,39.15,34002200.0
2017-10-02,38.12,39.09,38.08,39.04,38.81,37394500.0
2017-09-29,37.84,38.15,37.7,38.08,37.86,23217300.0
2017-09-28,37.32,37.88,37.29,37.83,37.61,21171400.0
2017-09-27,37.62,37.69,37.1,37.54,37.32,25981400.0
2017-09-26,37.21,37.64,37.0,37.47,37.25,29790400.0
2017-09-25,37.05,37.23,36.85,37.16,36.94,23180800.0
2017-09-22,36.95,37.22,36.95,37.18,36.96,21631800.0
2017-09-21,36.99,37.27,36.85,37.2,36.98,22954200.0
2017-09-20,37.23,37.29,36.66,37.07,36.85,23957500.0
2017-09-19,37.2,37.3,37.02,37.23,37.01,23850500.0
2017-09-18,37.0,37.33,36.8,37.0,36.78,19393800.0
2017-09-15,36.55,37.08,36.22,37.0,36.78,33596100.0
2017-09-14,36.19,36.7,36.16,36.48,36.27,18093900.0
2017-09-13,36.0,36.4,35.97,36.33,36.12,15509800.0
2017-09-12,35.88,36.34,35.74,36.09,35.88,19489900.0
2017-09-11,35.49,36.0,35.14,35.77,35.56,20037600.0
2017-09-08,35.42,35.54,35.08,35.19,34.98,14125000.0
2017-09-07,35.88,35.95,35.33,35.54,35.33,16297100.0
2017-09-06,35.22,35.94,35.11,35.76,35.55,28076400.0
2017-09-05,35.02,35.33,34.93,35.02,34.81,18772000.0
2017-09-01,35.24,35.39,35.07,35.09,34.88,12822000.0
2017-08-31,34.94,35.18,34.87,35.07,34.86,16366800.0
2017-08-30,34.75,34.96,34.63,34.89,34.68,18565000.0
2017-08-29,34.51,34.75,34.46,34.73,34.53,15843700.0
2017-08-28,34.78,34.8,34.59,34.65,34.45,20712900.0
2017-08-25,34.82,34.93,34.58,34.67,34.47,14726800.0
2017-08-24,34.7,34.89,34.55,34.71,34.51,14301900.0
2017-08-23,34.54,34.81,34.38,34.66,34.46,19648100.0
