date,open,high,low,close,adjclose,volume
2018-01-12,144.99,146.42,144.9,145.76,145.76,5430300.0
2018-01-11,144.13,144.9,143.69,144.79,144.79,4962200.0
2018-01-10,143.55,144.16,143.32,143.97,143.97,6558600.0
2018-01-09,142.37,145.68,142.26,144.14,144.14,8897000.0
2018-01-08,141.7,142.0,140.92,141.89,141.89,5129800.0
2018-01-05,140.69,141.82,140.28,141.71,141.71,6158800.0
2018-01-04,140.45,141.14,140.22,140.55,140.55,4837600.0
2018-01-03,139.36,140.68,138.9,140.56,140.56,5350500.0
2018-01-02,139.66,139.95,138.72,139.23,139.23,6842100.0
2017-12-29,140.98,141.21,139.58,139.72,139.72,4452900.0
2017-12-28,140.7,141.0,140.33,140.56,140.56,2485000.0
2017-12-27,140.42,141.15,140.2,140.57,140.57,3753600.0
2017-12-26,140.46,140.54,139.68,140.09,140.09,3271100.0
2017-12-22,141.0,141.35,140.04,140.12,140.12,4665600.0
2017-12-21,141.59,142.17,141.02,141.06,141.06,6284700.0
2017-12-20,142.26,142.58,141.08,141.16,141.16,6289800.0
2017-12-19,141.89,142.38,141.36,141.78,141.78,6580100.0
2017-12-18,142.56,143.8,141.4,141.8,141.8,5833200.0
2017-12-15,142.48,143.14,141.78,142.46,142.46,12517000.0
2017-12-14,143.52,143.62,141.61,141.65,141.65,5337900.0
2017-12-13,142.5,143.43,142.21,142.89,142.89,6118400.0
2017-12-12,142.6,143.57,142.04,142.6,142.6,8016700.0
2017-12-11,140.9,141.17,139.83,141.14,141.14,4358600.0
2017-12-08,140.0,140.76,139.8,140.59,140.59,5101300.0
2017-12-07,140.01,141.5,139.26,140.01,140.01,4713100.0
2017-12-06,140.84,141.96,140.19,141.06,141.06,5591700.0
2017-12-05,139.79,140.81,139.2,139.67,139.67,6745300.0
2017-12-04,140.62,141.5,138.93,139.01,139.01,5916700.0
2017-12-01,139.57,140.53,138.6,139.98,139.98,5990500.0
2017-11-30,140.06,140.28,138.48,139.33,139.33,8941900.0
2017-11-29,140.22,140.63,138.95,139.81,139.81,5851400.0
2017-11-28,138.3,140.53,138.25,140.02,140.02,5052800.0
2017-11-27,137.51,138.31,137.48,138.1,138.1,3933100.0
2017-11-24,137.5,138.38,137.31,138.01,137.17,2606800.0
2017-11-22,138.3,138.38,136.6,137.29,136.45,3917000.0
2017-11-21,138.45,139.26,138.19,138.34,137.5,5660600.0
2017-11-20,138.15,138.56,137.74,137.93,137.09,4266300.0
2017-11-17,138.3,138.86,137.89,138.0,137.16,4247400.0
2017-11-16,139.42,139.68,138.64,138.87,138.02,4193800.0
2017-11-15,139.23,139.83,138.75,139.1,138.25,4811500.0
2017-11-14,139.57,140.28,138.92,139.49,138.64,4078200.0
2017-11-13,139.01,140.02,138.42,139.76,138.91,4322300.0
2017-11-10,140.13,140.13,138.61,139.56,138.71,4240800.0
2017-11-09,140.86,141.41,139.8,140.35,139.5,3517100.0
2017-11-08,139.7,141.87,139.46,141.32,140.46,4440700.0
2017-11-07,140.08,140.15,138.91,139.77,138.92,4201900.0
2017-11-06,140.01,140.49,139.72,139.76,138.91,4220700.0
2017-11-03,139.73,140.4,139.3,140.08,139.23,2737000.0
2017-11-02,140.11,140.29,139.11,139.93,139.08,3494100.0
2017-11-01,139.83,140.59,139.34,139.98,139.13,5006800.0
2017-10-31,140.02,140.26,138.98,139.41,138.56,4832100.0
2017-10-30,141.08,141.21,139.32,140.0,139.15,6034300.0
2017-10-27,141.0,142.7,140.2,141.78,140.92,5140100.0
2017-10-26,142.51,143.75,141.38,141.81,140.95,5841100.0
2017-10-25,141.16,143.23,140.96,142.36,141.49,6563600.0
2017-10-24,143.38,143.38,140.93,141.64,140.78,6585800.0
2017-10-23,142.13,144.35,142.08,143.62,142.75,6686000.0
2017-10-20,142.38,143.62,141.83,142.4,141.53,5634500.0
2017-10-19,140.71,142.98,140.54,142.04,141.18,9181300.0
2017-10-18,140.79,141.58,140.07,140.68,139.82,6827700.0
2017-10-17,137.67,141.12,137.06,140.79,139.93,11717300.0
2017-10-16,136.45,137.26,135.54,136.12,135.29,5120100.0
2017-10-13,136.6,137.42,136.34,136.43,135.6,4106600.0
2017-10-12,136.34,137.52,136.02,136.83,136.0,5172800.0
2017-10-11,134.88,137.08,134.37,136.65,135.82,8269400.0
2017-10-10,133.56,134.13,132.92,133.9,133.09,4184600.0
2017-10-09,133.66,133.82,133.17,133.45,132.64,3750500.0
2017-10-06,133.0,133.25,132.48,133.22,132.41,2469500.0
2017-10-05,132.89,133.31,132.36,133.19,132.38,3741100.0
2017-10-04,132.4,133.18,132.1,132.89,132.08,3589000.0
2017-10-03,131.65,132.4,131.36,132.1,131.3,3900800.0
2017-10-02,130.16,131.33,130.02,131.22,130.42,4492900.0
