date,open,high,low,close,adjclose,volume
2018-01-12,46.28,46.39,46.03,46.15,46.15,14544400.0
2018-01-11,46.23,46.23,45.86,46.04,46.04,7583200.0
2018-01-10,46.23,46.26,45.93,46.07,46.07,10700700.0
2018-01-09,46.0,46.36,45.94,46.23,46.23,9962400.0
2018-01-08,45.95,46.1,45.88,46.0,46.0,7068600.0
2018-01-05,46.02,46.2,45.79,46.07,46.07,13113100.0
2018-01-04,45.56,46.22,45.45,46.08,46.08,12709400.0
2018-01-03,45.49,45.69,45.34,45.44,45.44,12635600.0
2018-01-02,45.91,45.94,45.51,45.54,45.54,10872200.0
2017-12-29,45.7,46.18,45.69,45.88,45.88,8371500.0
2017-12-28,45.91,45.99,45.64,45.72,45.72,6538900.0
2017-12-27,45.9,45.94,45.72,45.93,45.93,5660600.0
2017-12-26,45.7,45.86,45.61,45.81,45.81,6100400.0
2017-12-22,45.69,45.73,45.55,45.59,45.59,5406300.0
2017-12-21,46.14,46.22,45.56,45.6,45.6,9657100.0
2017-12-20,46.21,46.3,45.96,46.08,46.08,7311000.0
2017-12-19,46.04,46.38,45.91,46.13,46.13,8253200.0
2017-12-18,46.2,46.38,45.91,45.93,45.93,10156800.0
2017-12-15,46.29,46.42,46.04,46.19,46.19,21181600.0
2017-12-14,45.81,46.17,45.8,46.03,46.03,9029000.0
2017-12-13,45.45,46.05,45.4,45.9,45.9,12418700.0
2017-12-12,45.25,45.52,45.06,45.29,45.29,13999300.0
2017-12-11,45.31,45.41,44.92,45.33,45.33,9698700.0
2017-12-08,45.7,45.73,45.05,45.31,45.31,13238600.0
2017-12-07,46.29,46.32,45.72,45.78,45.78,9106500.0
2017-12-06,46.36,46.48,46.26,46.45,46.45,8154000.0
2017-12-05,46.25,46.44,46.06,46.26,46.26,13670800.0
2017-12-04,45.99,46.38,45.77,46.23,46.23,17523600.0
2017-12-01,45.8,46.02,45.21,45.97,45.97,12468800.0
2017-11-30,45.14,45.84,45.03,45.77,45.77,17147600.0
2017-11-29,45.77,45.82,45.21,45.5,45.13,16502100.0
2017-11-28,45.99,46.15,45.78,45.83,45.46,8432800.0
2017-11-27,45.88,45.99,45.81,45.9,45.53,5649200.0
2017-11-24,45.89,46.05,45.86,45.88,45.51,2996300.0
