date,open,high,low,close,adjclose,volume
2018-01-12,173.36,173.79,172.88,173.57,173.57,2881400.0
2018-01-11,173.56,174.55,172.1,173.39,173.39,3078000.0
2018-01-10,173.5,174.0,172.47,173.51,173.51,2172500.0
2018-01-09,174.23,174.23,173.01,173.54,173.54,2674300.0
2018-01-08,173.74,174.21,172.93,173.93,173.93,2060800.0
2018-01-05,174.0,175.0,173.4,174.05,174.05,3737700.0
2018-01-04,173.24,174.13,172.73,173.7,173.7,2756400.0
2018-01-03,173.23,173.64,172.0,172.49,172.49,3789600.0
2018-01-02,173.73,174.48,172.66,173.22,173.22,3696900.0
2017-12-29,172.98,172.98,171.92,172.12,172.12,2201800.0
2017-12-28,173.26,173.55,172.62,173.1,173.1,1800100.0
2017-12-27,171.33,172.74,170.85,172.67,172.67,1596800.0
2017-12-26,171.09,171.64,170.82,171.29,171.29,1280200.0
2017-12-22,171.82,172.04,170.55,171.42,171.42,3234100.0
2017-12-21,172.6,172.75,171.67,171.85,171.85,2343300.0
2017-12-20,173.83,173.88,171.71,172.17,172.17,2749400.0
2017-12-19,174.39,174.9,173.08,173.39,173.39,3122500.0
2017-12-18,174.87,175.78,174.11,174.2,174.2,2426300.0
2017-12-15,174.3,175.09,173.68,174.06,174.06,7435200.0
2017-12-14,173.66,174.08,172.83,173.14,173.14,2666900.0
2017-12-13,172.44,173.96,172.4,173.55,173.55,2554000.0
2017-12-12,173.0,173.2,171.85,172.23,172.23,2805900.0
2017-12-11,172.94,173.25,172.22,173.25,173.25,2340800.0
2017-12-08,173.04,173.54,172.51,173.15,173.15,2241100.0
2017-12-07,172.55,173.29,171.92,172.91,172.91,2284800.0
2017-12-06,173.48,174.44,173.0,173.48,173.48,2618700.0
2017-12-05,173.64,174.25,172.46,172.99,172.99,3228700.0
2017-12-04,173.27,173.48,170.43,170.65,170.65,3943100.0
2017-12-01,172.77,173.15,170.39,172.87,172.87,4279200.0
2017-11-30,170.24,173.17,169.34,171.97,171.97,6023700.0
2017-11-29,171.7,172.02,169.05,170.43,169.42,4590300.0
2017-11-28,169.23,171.38,169.04,171.34,170.32,2909900.0
2017-11-27,168.9,169.18,168.09,168.96,167.96,2082400.0
2017-11-24,168.88,169.56,168.82,169.11,168.11,963200.0
2017-11-22,169.27,170.35,168.67,169.05,168.05,2719200.0
2017-11-21,167.55,169.26,167.51,168.3,167.3,2653100.0
2017-11-20,167.33,167.85,166.76,166.93,165.94,2442300.0
2017-11-17,167.54,167.7,166.16,166.72,165.73,2221400.0
2017-11-16,167.68,168.89,167.53,168.09,167.09,2293400.0
2017-11-15,167.69,168.69,167.15,167.32,166.33,2019300.0
2017-11-14,166.84,168.42,166.57,168.11,167.11,2180900.0
2017-11-13,165.47,167.95,165.08,167.37,166.38,2605600.0
2017-11-10,166.4,166.8,163.52,165.59,164.61,4226800.0
2017-11-09,168.72,169.2,166.1,167.0,166.01,4219000.0
2017-11-08,170.17,170.92,169.45,170.1,169.09,2605000.0
2017-11-07,170.1,170.82,169.52,170.77,169.76,2506000.0
2017-11-06,168.9,170.42,168.6,170.07,169.06,3087700.0
2017-11-03,168.0,169.45,167.6,168.65,167.65,1959500.0
2017-11-02,166.99,168.47,166.5,168.1,167.1,2291000.0
2017-11-01,165.72,167.99,165.57,166.37,165.38,2186100.0
