date,open,high,low,close,adjclose,volume
2018-01-12,243.07,246.0,242.5,244.47,244.47,1955100.0
2018-01-11,240.74,242.34,239.75,242.31,242.31,1487700.0
2018-01-10,241.0,242.57,240.03,241.14,241.14,1640900.0
2018-01-09,239.6,241.78,239.34,241.28,241.28,1695100.0
2018-01-08,239.38,240.94,239.18,239.79,239.79,1869000.0
2018-01-05,238.65,240.9,237.74,240.57,240.57,1835900.0
2018-01-04,237.0,239.44,236.47,238.71,238.71,2243100.0
2018-01-03,235.07,235.73,233.29,235.63,235.63,2193700.0
2018-01-02,235.78,237.07,232.81,235.64,235.64,2931000.0
2017-12-29,236.48,237.31,235.37,235.37,235.37,1343900.0
2017-12-28,236.94,237.08,235.28,235.72,235.72,1189700.0
2017-12-27,235.52,236.54,234.84,236.2,236.2,970500.0
2017-12-26,235.08,236.28,235.03,235.45,235.45,789100.0
2017-12-22,235.36,236.08,234.28,234.73,234.73,1280600.0
2017-12-21,236.0,237.25,234.41,234.78,234.78,2241600.0
2017-12-20,238.2,238.47,236.49,236.92,236.92,1621600.0
2017-12-19,239.47,239.74,236.9,238.39,238.39,1868900.0
2017-12-18,238.58,240.01,237.15,238.42,238.42,2237300.0
2017-12-15,239.19,239.68,237.65,238.0,238.0,4518700.0
2017-12-14,240.32,240.8,237.81,238.08,238.08,1984700.0
2017-12-13,236.91,239.59,236.63,239.11,239.11,2707900.0
2017-12-12,236.58,241.68,236.12,236.58,236.58,2766300.0
2017-12-11,239.19,240.21,237.86,239.3,239.3,1742900.0
2017-12-08,240.0,241.01,237.49,238.13,238.13,1999800.0
2017-12-07,238.45,241.29,237.93,240.3,240.3,1367100.0
2017-12-06,240.33,241.08,236.97,238.67,238.67,1924100.0
2017-12-05,240.22,240.26,237.86,238.26,238.26,1543100.0
2017-12-04,243.05,244.23,238.51,239.26,239.26,2468700.0
2017-12-01,243.19,243.63,239.15,241.15,241.15,2232300.0
2017-11-30,238.86,243.45,237.69,243.14,243.14,4003400.0
2017-11-29,236.05,238.19,235.64,238.01,238.01,1754600.0
2017-11-28,234.12,235.94,233.38,235.63,235.63,1871700.0
2017-11-27,231.75,234.53,231.13,234.0,234.0,1780800.0
2017-11-24,232.03,232.04,230.81,231.38,231.38,659100.0
2017-11-22,233.06,233.86,231.4,231.58,231.58,1371800.0
2017-11-21,232.21,235.71,232.21,234.09,232.91,2122600.0
2017-11-20,229.9,233.59,229.55,231.49,230.33,1700000.0
2017-11-17,228.43,229.92,227.74,229.36,228.21,1741800.0
2017-11-16,227.79,229.99,227.79,229.42,228.27,1224800.0
2017-11-15,228.07,228.51,226.04,227.4,226.26,1512100.0
2017-11-14,228.14,229.96,226.75,229.33,228.18,1393200.0
2017-11-13,226.73,228.43,226.26,228.22,227.07,1765300.0
2017-11-10,227.47,228.44,226.16,227.45,226.31,1295800.0
2017-11-09,228.54,229.4,227.05,228.39,227.24,1575800.0
2017-11-08,229.84,230.65,229.38,229.83,228.68,1510200.0
2017-11-07,230.38,230.77,229.14,230.05,228.9,1553600.0
2017-11-06,232.22,232.63,230.15,230.31,229.15,1334700.0
2017-11-03,231.56,232.58,230.92,232.22,231.05,1582700.0
2017-11-02,230.24,232.8,229.55,232.23,231.06,1609500.0
2017-11-01,231.0,231.76,229.11,230.18,229.02,1389900.0
2017-10-31,231.38,231.6,229.81,230.19,229.03,1908200.0
2017-10-30,233.66,233.66,230.64,231.02,229.86,2722600.0
2017-10-27,234.23,234.95,232.55,234.74,233.56,2000400.0
2017-10-26,238.26,238.8,232.31,232.94,231.77,3385000.0
2017-10-25,235.01,237.94,233.94,237.68,236.49,4114500.0
2017-10-24,229.0,238.9,228.99,234.65,233.47,6508400.0
2017-10-23,221.76,222.78,221.2,221.55,220.44,2161300.0
2017-10-20,219.95,221.32,219.19,221.32,220.21,1647800.0
2017-10-19,218.49,219.25,217.47,219.24,218.14,1369000.0
2017-10-18,217.52,218.64,217.37,218.27,217.17,1413600.0
2017-10-17,218.49,218.72,216.47,217.75,216.66,2150800.0
2017-10-16,217.7,218.73,217.2,218.72,217.62,1185200.0
2017-10-13,218.83,219.76,216.8,217.72,216.63,1461600.0
2017-10-12,216.6,217.64,216.29,217.59,216.5,1908000.0
2017-10-11,216.75,216.86,214.66,216.51,215.42,2052900.0
2017-10-10,217.38,217.6,216.55,216.75,215.66,1170900.0
2017-10-09,215.96,217.21,215.69,216.68,215.59,1054600.0
2017-10-06,216.0,216.54,215.27,216.52,215.43,1650800.0
2017-10-05,216.49,217.61,215.9,216.37,215.28,1740500.0
2017-10-04,214.85,216.94,214.5,216.52,215.43,1636400.0
2017-10-03,212.62,214.6,211.38,214.57,213.49,1634900.0
2017-10-02,210.73,212.79,210.03,212.76,211.69,1292100.0
2017-09-29,209.06,209.9,208.73,209.9,208.85,1632200.0
2017-09-28,208.3,209.88,208.25,209.55,208.5,2092800.0
2017-09-27,211.09,211.38,208.16,209.48,208.43,1865100.0
2017-09-26,211.26,212.83,210.93,211.03,209.97,1224600.0
2017-09-25,210.98,211.22,209.37,210.73,209.67,1609200.0
2017-09-22,209.64,211.3,209.28,210.76,209.7,1493300.0
2017-09-21,210.9,211.62,210.24,210.44,209.38,1382400.0
2017-09-20,211.77,212.6,208.31,210.51,209.45,2987200.0
2017-09-19,214.23,214.65,212.85,213.56,212.49,1429700.0
2017-09-18,214.0,214.04,212.57,213.76,212.69,1272400.0
2017-09-15,212.59,214.12,210.66,213.35,212.28,3636400.0
2017-09-14,209.15,211.91,208.74,211.43,210.37,1984200.0
2017-09-13,209.12,210.29,208.57,209.49,208.44,1129600.0
2017-09-12,209.91,210.96,209.26,209.64,208.59,1441200.0
2017-09-11,206.46,209.78,206.09,209.56,208.51,1806700.0
2017-09-08,204.35,206.12,203.16,205.69,204.66,1474000.0
2017-09-07,201.47,204.71,201.47,204.46,203.43,1701500.0
2017-09-06,201.75,202.25,201.24,202.05,201.04,2236200.0
2017-09-05,202.25,202.53,200.51,200.98,199.97,1934500.0
2017-09-01,204.61,204.91,203.23,203.56,202.54,1413000.0
2017-08-31,204.32,204.62,203.02,204.32,203.29,1567900.0
2017-08-30,202.92,203.69,202.0,203.69,202.67,1196200.0
2017-08-29,202.2,203.08,201.33,202.92,201.9,991300.0
2017-08-28,202.78,203.27,201.85,202.46,201.44,1174700.0
2017-08-25,203.44,203.45,202.05,202.13,201.12,1238100.0
2017-08-24,203.89,203.89,201.96,202.12,201.11,1230800.0
2017-08-23,204.05,204.1,202.32,202.67,201.65,1267300.0
