date,open,high,low,close,adjclose,volume
2018-01-12,57.95,58.81,57.89,58.66,58.66,11760900.0
2018-01-11,57.3,57.61,57.16,57.6,57.6,7106300.0
2018-01-10,56.55,57.37,56.46,57.3,57.3,9062400.0
2018-01-09,56.81,57.1,56.57,56.8,56.8,10631700.0
2018-01-08,57.21,57.25,56.5,56.66,56.66,11109300.0
2018-01-05,57.39,57.39,56.59,56.99,56.99,9499100.0
2018-01-04,56.44,57.42,56.38,57.05,57.05,15030200.0
2018-01-03,56.23,56.26,55.96,56.14,56.14,10582500.0
2018-01-02,56.59,56.75,56.05,56.22,56.22,10073000.0
2017-12-29,56.83,56.99,56.27,56.27,56.27,8436600.0
2017-12-28,56.34,56.8,56.3,56.6,56.6,5783500.0
2017-12-27,56.39,56.63,56.26,56.34,56.34,5660300.0
2017-12-26,56.49,56.6,56.27,56.34,56.34,4405300.0
2017-12-22,56.6,56.83,56.13,56.36,56.36,11346000.0
2017-12-21,56.08,56.8,56.08,56.6,56.6,9961800.0
2017-12-20,56.28,56.49,55.98,56.11,56.11,13135900.0
2017-12-19,56.22,56.62,56.01,56.23,56.23,9467100.0
2017-12-18,56.38,56.69,56.2,56.22,56.22,11595000.0
2017-12-15,56.23,56.37,55.75,56.24,56.24,22580700.0
2017-12-14,56.4,56.74,55.96,56.01,56.01,10137300.0
2017-12-13,56.94,57.37,56.65,56.91,56.43,13342500.0
2017-12-12,56.87,57.17,56.63,57.07,56.59,13792700.0
2017-12-11,56.34,56.64,55.56,56.34,55.86,9770200.0
2017-12-08,55.31,55.57,54.66,55.57,55.1,10423400.0
2017-12-07,54.85,55.84,54.68,54.77,54.31,16460500.0
2017-12-06,54.44,55.93,54.19,54.35,53.89,20245900.0
2017-12-05,56.15,56.51,55.72,55.77,55.3,11837200.0
2017-12-04,55.93,56.71,55.87,56.22,55.75,13440000.0
2017-12-01,55.4,55.98,55.22,55.87,55.4,12092400.0
2017-11-30,55.19,55.89,55.03,55.27,54.8,15400400.0
2017-11-29,55.04,55.65,54.93,55.36,54.89,10477600.0
2017-11-28,54.93,55.13,54.41,54.93,54.47,12830900.0
2017-11-27,54.41,54.6,54.2,54.55,54.09,10100100.0
2017-11-24,54.5,54.63,54.11,54.35,53.89,4341300.0
2017-11-22,54.23,54.57,54.17,54.37,53.91,7376200.0
2017-11-21,54.36,54.85,54.18,54.27,53.81,13711300.0
2017-11-20,54.04,54.39,53.63,54.1,53.64,17178700.0
2017-11-17,55.0,55.43,54.75,55.2,54.73,9884100.0
2017-11-16,54.86,55.37,54.75,55.17,54.7,11996300.0
2017-11-15,54.76,55.1,54.4,54.8,54.34,11727400.0
2017-11-14,54.97,55.18,54.75,54.99,54.53,12705800.0
2017-11-13,55.31,55.52,55.06,55.1,54.64,13488300.0
2017-11-10,56.29,56.29,55.15,55.48,55.01,16743900.0
2017-11-09,56.55,56.66,55.62,56.21,55.74,14140100.0
2017-11-08,55.5,56.72,55.46,56.58,56.1,15132900.0
2017-11-07,55.88,56.19,55.38,55.59,55.12,14321100.0
2017-11-06,56.04,56.18,55.6,55.88,55.41,8718500.0
2017-11-03,55.3,56.28,55.19,56.06,55.59,9810800.0
2017-11-02,55.48,55.57,55.04,55.37,54.9,12318500.0
2017-11-01,55.54,55.8,55.28,55.34,54.87,16418400.0
2017-10-31,55.17,55.79,55.03,55.09,54.63,18429200.0
2017-10-30,55.75,56.05,54.41,54.71,54.25,38989400.0
2017-10-27,60.55,60.55,57.82,58.24,57.75,29561300.0
2017-10-26,62.29,62.69,61.81,61.99,61.47,10744300.0
2017-10-25,63.1,63.13,62.33,62.45,61.92,11016700.0
2017-10-24,63.31,63.31,62.37,63.11,62.58,10221100.0
2017-10-23,64.03,64.52,63.3,63.4,62.87,11582000.0
2017-10-20,63.85,63.99,63.57,63.88,63.34,10304200.0
2017-10-19,63.64,64.03,63.59,63.75,63.21,10071200.0
2017-10-18,64.09,64.11,63.41,63.51,62.97,7886900.0
2017-10-17,63.21,63.31,62.88,63.22,62.69,7028500.0
2017-10-16,63.49,63.73,63.26,63.34,62.81,7449200.0
2017-10-13,63.95,64.16,63.38,63.39,62.86,7341400.0
2017-10-12,63.79,63.98,63.56,63.83,63.29,6158500.0
2017-10-11,64.34,64.34,63.78,63.78,63.24,10101600.0
2017-10-10,64.31,64.47,64.19,64.46,63.92,4921000.0
2017-10-09,64.67,64.74,64.12,64.33,63.79,5451300.0
2017-10-06,64.7,64.9,64.37,64.55,64.01,7488400.0
2017-10-05,64.42,64.8,64.33,64.6,64.06,9150000.0
2017-10-04,64.42,64.62,64.33,64.6,64.06,6414700.0
2017-10-03,64.55,64.58,63.78,64.37,63.83,6507100.0
2017-10-02,64.21,64.68,63.89,64.55,64.01,6743400.0
2017-09-29,64.29,64.53,63.33,64.03,63.49,11449600.0
2017-09-28,64.27,64.66,64.17,64.29,63.75,7022800.0
2017-09-27,64.68,64.75,64.32,64.57,64.03,6691900.0
2017-09-26,65.1,65.32,64.72,64.76,64.21,6976200.0
2017-09-25,65.16,65.4,65.04,65.18,64.63,5573400.0
2017-09-22,65.63,65.7,65.07,65.13,64.58,7465900.0
2017-09-21,65.85,65.93,65.52,65.6,65.05,5968700.0
2017-09-20,66.07,66.31,65.19,65.79,65.24,9450000.0
2017-09-19,66.02,66.16,65.68,65.95,65.39,7009300.0
2017-09-18,66.02,66.41,65.81,65.99,65.43,10543200.0
2017-09-15,66.17,66.38,65.75,66.16,65.6,14685800.0
2017-09-14,64.99,66.17,64.91,66.12,65.56,9959100.0
2017-09-13,65.36,65.55,65.3,65.45,64.43,5628700.0
2017-09-12,65.12,65.62,65.12,65.46,64.44,7354200.0
2017-09-11,64.94,65.31,64.68,65.13,64.12,10291600.0
2017-09-08,63.99,64.53,63.94,64.27,63.27,7365800.0
2017-09-07,64.09,64.42,63.79,64.32,63.32,6856400.0
2017-09-06,63.89,64.33,63.77,64.0,63.0,7148700.0
2017-09-05,63.75,64.11,63.46,63.62,62.63,7236200.0
2017-09-01,63.79,64.1,63.6,63.83,62.84,6185100.0
2017-08-31,63.35,63.92,62.95,63.86,62.87,12903000.0
2017-08-30,63.14,63.17,62.9,63.12,62.14,5022500.0
2017-08-29,63.13,63.21,62.72,63.12,62.14,6564700.0
2017-08-28,63.11,63.46,62.98,63.32,62.34,7498200.0
2017-08-25,62.87,63.29,62.77,62.94,61.96,5274900.0
2017-08-24,62.25,62.91,62.19,62.71,61.73,7750100.0
