date,open,high,low,close,adjclose,volume
2018-01-12,88.67,89.78,88.45,89.6,89.6,24236500.0
2018-01-11,88.13,88.13,87.24,88.08,88.08,17808900.0
2018-01-10,87.86,88.19,87.41,87.82,87.82,18652200.0
2018-01-09,88.65,88.73,87.86,88.22,88.22,19484300.0
2018-01-08,88.2,88.58,87.6,88.28,88.28,22113000.0
2018-01-05,87.66,88.41,87.43,88.19,88.19,23407100.0
2018-01-04,86.59,87.66,86.57,87.11,87.11,21912000.0
2018-01-03,86.06,86.51,85.97,86.35,86.35,26061400.0
2018-01-02,86.13,86.31,85.5,85.95,85.95,22483800.0
2017-12-29,85.63,86.05,85.5,85.54,85.54,18717400.0
2017-12-28,85.9,85.93,85.55,85.72,85.72,10594300.0
2017-12-27,85.65,85.98,85.22,85.71,85.71,14678000.0
2017-12-26,85.31,85.53,85.03,85.4,85.4,9891200.0
2017-12-22,85.4,85.63,84.92,85.51,85.51,14145800.0
2017-12-21,86.05,86.1,85.4,85.5,85.5,17990700.0
2017-12-20,86.2,86.3,84.71,85.52,85.52,23674900.0
2017-12-19,86.35,86.35,85.27,85.83,85.83,23524800.0
2017-12-18,87.12,87.5,86.23,86.38,86.38,22283800.0
2017-12-15,85.26,87.09,84.88,86.85,86.85,53936700.0
2017-12-14,85.43,85.87,84.53,84.69,84.69,19306000.0
2017-12-13,85.74,86.0,85.17,85.35,85.35,22062700.0
2017-12-12,85.31,86.05,85.08,85.58,85.58,23924100.0
2017-12-11,84.29,85.37,84.12,85.23,85.23,22857900.0
2017-12-08,83.63,84.58,83.33,84.16,84.16,24489100.0
2017-12-07,82.54,82.8,82.0,82.49,82.49,23184500.0
2017-12-06,81.55,83.14,81.43,82.78,82.78,26162100.0
2017-12-05,81.34,82.68,80.98,81.59,81.59,26152300.0
2017-12-04,84.42,84.43,80.7,81.08,81.08,39094900.0
2017-12-01,83.6,84.81,83.22,84.26,84.26,29532100.0
2017-11-30,83.51,84.52,83.34,84.17,84.17,33054600.0
2017-11-29,84.71,84.92,83.18,83.34,83.34,27381100.0
2017-11-28,84.07,85.06,84.02,84.88,84.88,21926000.0
2017-11-27,83.31,83.98,83.3,83.87,83.87,18265200.0
2017-11-24,83.01,83.43,82.78,83.26,83.26,7425600.0
2017-11-22,83.83,83.9,83.04,83.11,83.11,20553100.0
2017-11-21,82.74,83.84,82.74,83.72,83.72,21237500.0
2017-11-20,82.4,82.59,82.25,82.53,82.53,16315000.0
2017-11-17,83.12,83.12,82.24,82.4,82.4,22079000.0
2017-11-16,83.1,83.42,82.94,83.2,83.2,20962800.0
2017-11-15,83.47,83.69,82.69,82.98,82.98,19383100.0
2017-11-14,83.5,84.1,82.98,84.05,83.63,18801300.0
2017-11-13,83.66,83.94,83.46,83.93,83.51,14196900.0
2017-11-10,83.79,84.1,83.23,83.87,83.45,19397800.0
2017-11-09,84.11,84.27,82.9,84.09,83.67,21178400.0
2017-11-08,84.14,84.61,83.83,84.56,84.14,18034200.0
2017-11-07,84.77,84.9,83.93,84.27,83.85,17939700.0
2017-11-06,84.2,84.7,84.08,84.47,84.05,19860900.0
2017-11-03,84.08,84.54,83.4,84.14,83.72,17633500.0
2017-11-02,83.35,84.46,83.12,84.05,83.63,23992900.0
2017-11-01,83.68,83.76,82.88,83.18,82.76,22307400.0
2017-10-31,84.36,84.36,83.11,83.18,82.76,27086600.0
2017-10-30,83.7,84.33,83.11,83.89,83.47,31756700.0
2017-10-27,84.37,86.2,83.61,83.81,83.39,71066700.0
2017-10-26,79.2,79.42,78.75,78.76,78.37,32120700.0
2017-10-25,78.58,79.1,78.01,78.63,78.24,20410800.0
