date,open,high,low,close,adjclose,volume
2018-01-12,64.5,64.72,64.32,64.67,64.67,5045100.0
2018-01-11,64.03,64.31,63.78,64.29,64.29,5103500.0
2018-01-10,63.88,64.23,63.44,64.22,64.22,5010600.0
2018-01-09,64.23,64.72,63.47,64.09,64.09,8771300.0
2018-01-08,64.15,64.71,63.98,64.55,64.55,11905700.0
2018-01-05,63.7,64.3,63.47,63.98,63.98,11632300.0
2018-01-04,63.4,63.55,62.55,63.44,63.44,5780500.0
2018-01-03,63.48,63.66,62.76,63.48,63.48,6091100.0
2018-01-02,62.85,63.49,62.85,63.49,63.49,6511000.0
2017-12-29,63.21,63.37,62.55,62.55,62.55,5222100.0
2017-12-28,63.0,63.32,62.85,62.95,62.95,3987200.0
2017-12-27,63.56,63.6,62.77,62.95,62.95,8959700.0
2017-12-26,62.9,63.89,62.81,63.65,63.65,4563500.0
2017-12-22,61.2,63.54,60.13,63.29,63.29,20414200.0
2017-12-21,64.29,64.98,63.3,64.77,64.77,14352300.0
2017-12-20,64.39,64.5,63.58,63.59,63.59,12468600.0
2017-12-19,65.15,65.19,64.18,64.24,64.24,8212500.0
2017-12-18,64.93,65.08,64.39,64.81,64.81,12652000.0
2017-12-15,64.89,65.07,64.15,64.79,64.79,15659300.0
2017-12-14,64.43,64.85,64.05,64.53,64.53,13055100.0
2017-12-13,62.22,64.46,62.02,64.3,64.3,16072600.0
2017-12-12,61.81,62.53,61.65,62.17,62.17,7358000.0
2017-12-11,61.37,62.22,61.3,61.91,61.91,9017800.0
2017-12-08,60.5,61.37,60.29,61.3,61.3,6065200.0
2017-12-07,59.86,61.06,59.65,60.6,60.6,6113300.0
2017-12-06,60.41,60.85,59.7,59.72,59.72,7862200.0
2017-12-05,60.65,60.8,59.65,60.42,60.42,8862900.0
2017-12-04,60.27,60.7,59.97,60.1,60.1,7513200.0
2017-12-01,60.42,60.43,59.24,59.88,59.88,10113500.0
2017-11-30,60.26,61.21,60.2,60.42,60.22,12551200.0
2017-11-29,59.73,60.63,59.73,60.36,60.16,12022800.0
2017-11-28,58.76,59.6,58.54,59.58,59.38,8665300.0
2017-11-27,59.2,59.7,59.17,59.63,59.43,7891600.0
2017-11-24,59.0,59.35,58.91,59.32,59.12,3400400.0
2017-11-22,59.18,59.34,58.94,59.07,58.87,8501300.0
2017-11-21,59.03,59.4,58.93,59.39,59.19,9057800.0
2017-11-20,58.63,59.5,57.98,59.25,59.05,8480600.0
2017-11-17,58.54,59.53,58.37,59.19,58.99,15475500.0
2017-11-16,56.62,57.28,56.41,57.23,57.04,8233300.0
2017-11-15,55.96,56.87,55.08,56.63,56.44,6610500.0
2017-11-14,55.71,56.18,55.53,55.98,55.79,5037500.0
2017-11-13,55.66,56.09,55.66,55.91,55.72,10106100.0
2017-11-10,55.88,56.49,55.62,56.09,55.9,7535700.0
2017-11-09,55.5,56.35,55.31,56.13,55.94,10958500.0
2017-11-08,55.0,55.77,54.89,55.76,55.58,7079400.0
2017-11-07,55.75,56.02,55.02,55.15,54.97,7774700.0
2017-11-06,55.29,56.13,55.14,56.04,55.85,9332200.0
2017-11-03,55.15,55.72,55.04,55.71,55.53,9448200.0
2017-11-02,55.15,55.32,54.59,55.12,54.94,7250300.0
2017-11-01,55.42,55.5,54.85,55.07,54.89,7544500.0
2017-10-31,54.75,55.28,54.52,54.99,54.81,9794800.0
2017-10-30,55.71,55.93,54.84,55.27,55.09,10169400.0
2017-10-27,55.82,56.36,55.65,55.96,55.77,12801800.0
2017-10-26,55.26,57.25,55.14,56.81,56.62,22185100.0
2017-10-25,53.43,55.91,52.67,54.94,54.76,24804000.0
2017-10-24,53.9,54.0,53.1,53.42,53.24,14767600.0
2017-10-23,53.06,53.95,53.0,53.66,53.48,12242600.0
2017-10-20,52.79,53.5,52.79,53.06,52.88,13020900.0
2017-10-19,51.66,52.8,51.48,52.69,52.52,12568200.0
2017-10-18,52.18,52.4,52.1,52.3,52.13,10890300.0
2017-10-17,51.5,52.04,51.38,52.0,51.83,9492700.0
2017-10-16,50.8,51.41,50.64,51.37,51.2,9299300.0
2017-10-13,50.83,51.07,50.4,50.98,50.81,16227900.0
2017-10-12,50.98,51.12,50.35,50.83,50.66,10658400.0
2017-10-11,51.39,51.52,50.83,51.03,50.86,9109600.0
2017-10-10,51.58,51.82,51.37,51.53,51.36,8372700.0
