date,open,high,low,close,adjclose,volume
2018-01-12,36.63,36.8,36.46,36.54,36.54,19179700.0
2018-01-11,36.64,36.7,36.42,36.56,36.56,14328800.0
2018-01-10,36.34,36.61,36.31,36.47,36.47,17794900.0
2018-01-09,36.44,36.64,36.36,36.41,36.41,16011600.0
2018-01-08,36.72,36.8,36.33,36.45,36.45,18941500.0
2018-01-05,36.82,36.88,36.61,36.86,36.86,12492900.0
2018-01-04,36.71,36.92,36.6,36.79,36.79,12378100.0
2018-01-03,36.45,36.77,36.23,36.71,36.71,13456500.0
2018-01-02,36.38,36.52,36.24,36.44,36.44,16185800.0
2017-12-29,36.23,36.49,36.22,36.22,36.22,11421500.0
2017-12-28,36.36,36.53,36.25,36.37,36.37,6583900.0
2017-12-27,36.31,36.46,36.23,36.33,36.33,8319700.0
2017-12-26,36.09,36.27,35.95,36.21,36.21,10892400.0
2017-12-22,36.27,36.38,36.05,36.14,36.14,8599200.0
2017-12-21,36.54,36.6,36.19,36.24,36.24,14769400.0
2017-12-20,36.99,37.14,36.42,36.46,36.46,15099200.0
2017-12-19,37.2,37.23,36.88,36.94,36.94,14058500.0
2017-12-18,37.22,37.35,37.06,37.13,37.13,16765100.0
2017-12-15,36.78,37.23,36.71,37.2,37.2,37779900.0
2017-12-14,36.73,36.89,36.34,36.46,36.46,14786900.0
2017-12-13,36.57,36.8,36.47,36.64,36.64,15787200.0
2017-12-12,36.36,36.82,36.25,36.58,36.58,22485900.0
2017-12-11,36.04,36.26,35.69,36.21,36.21,14362900.0
2017-12-08,35.32,35.77,35.32,35.74,35.74,14901100.0
2017-12-07,35.56,35.64,35.15,35.5,35.5,15807800.0
2017-12-06,35.58,35.88,35.51,35.56,35.56,17379200.0
2017-12-05,35.92,36.19,35.51,35.63,35.63,22320600.0
2017-12-04,36.49,36.62,36.05,36.06,36.06,14086800.0
2017-12-01,36.29,36.5,36.01,36.35,36.35,18584900.0
2017-11-30,36.21,36.48,36.08,36.26,36.26,22830800.0
2017-11-29,35.94,36.41,35.88,36.21,36.21,15296800.0
2017-11-28,35.59,35.89,35.52,35.85,35.85,12985800.0
2017-11-27,35.52,35.65,35.38,35.49,35.49,10292800.0
2017-11-24,35.51,35.56,35.37,35.49,35.49,6397300.0
2017-11-22,35.45,35.5,35.32,35.43,35.43,10553100.0
2017-11-21,35.4,35.73,35.38,35.54,35.54,12650000.0
2017-11-20,35.38,35.45,35.27,35.35,35.35,11817400.0
2017-11-17,35.37,35.49,35.17,35.37,35.37,14847500.0
2017-11-16,35.34,35.58,35.25,35.56,35.56,12927800.0
2017-11-15,35.28,35.5,35.23,35.36,35.36,12947000.0
2017-11-14,35.25,35.7,35.22,35.38,35.38,16393300.0
2017-11-13,35.22,35.48,35.14,35.3,35.3,23788100.0
2017-11-10,35.1,35.19,34.8,35.18,35.18,15046100.0
2017-11-09,35.08,35.25,34.84,35.2,35.2,13366900.0
2017-11-08,35.37,35.39,35.03,35.34,35.02,13569400.0
2017-11-07,35.3,35.42,35.24,35.36,35.04,10892700.0
2017-11-06,35.59,35.61,35.12,35.32,35.0,10626700.0
2017-11-03,35.45,35.56,35.32,35.55,35.23,8878800.0
2017-11-02,35.27,35.51,35.03,35.46,35.14,13168900.0
2017-11-01,35.01,35.73,34.9,35.26,34.94,15709200.0
2017-10-31,35.05,35.34,34.1,35.06,34.74,23523800.0
2017-10-30,35.43,35.47,35.02,35.15,34.83,25312700.0
2017-10-27,35.53,35.75,35.4,35.6,35.28,14940100.0
2017-10-26,36.09,36.22,35.6,35.74,35.42,17432900.0
2017-10-25,36.2,36.35,35.92,36.16,35.83,16625700.0
2017-10-24,36.45,36.53,35.99,36.27,35.94,15015300.0
2017-10-23,36.3,36.78,36.3,36.4,36.07,15159400.0
2017-10-20,36.3,36.42,36.03,36.42,36.09,17502200.0
2017-10-19,35.89,36.38,35.84,36.24,35.91,19789400.0
2017-10-18,36.25,36.29,35.79,35.83,35.51,14418000.0
2017-10-17,35.93,36.33,35.75,36.2,35.87,14019700.0
2017-10-16,36.35,36.48,35.88,35.98,35.65,13581600.0
2017-10-13,36.37,36.49,36.25,36.34,36.01,12769300.0
2017-10-12,36.48,36.6,36.28,36.35,36.02,13994400.0
2017-10-11,36.37,36.48,36.2,36.45,36.12,17233100.0
2017-10-10,36.38,36.51,36.03,36.4,36.07,17739500.0
2017-10-09,36.06,36.15,35.93,36.14,35.81,9751500.0
2017-10-06,35.99,36.14,35.94,36.05,35.72,12060100.0
2017-10-05,35.88,36.0,35.75,36.0,35.67,13605700.0
2017-10-04,36.18,36.24,35.9,35.96,35.63,10849400.0
2017-10-03,36.02,36.2,35.75,36.14,35.81,13594300.0
2017-10-02,35.67,36.1,35.49,36.07,35.74,16642600.0
2017-09-29,35.64,35.7,35.35,35.7,35.38,16003700.0
2017-09-28,35.27,35.78,35.22,35.6,35.28,18062700.0
2017-09-27,35.25,35.53,35.19,35.45,35.13,14708500.0
2017-09-26,35.51,35.65,35.24,35.3,34.98,17559800.0
2017-09-25,35.9,36.03,35.44,35.51,35.19,22182000.0
2017-09-22,36.1,36.12,35.77,35.96,35.63,14605400.0
2017-09-21,36.06,36.19,35.91,35.97,35.64,15731100.0
