date,open,high,low,close,adjclose,volume
2018-01-12,133.05,134.99,132.03,134.73,134.73,1992800.0
2018-01-11,132.09,132.88,131.66,132.34,132.34,1046500.0
2018-01-10,132.5,133.02,131.82,132.11,132.11,1171700.0
2018-01-09,132.59,134.19,132.2,132.47,132.47,2120800.0
2018-01-08,132.16,132.4,131.1,131.45,131.45,1343300.0
2018-01-05,132.58,132.58,131.37,132.16,132.16,1144100.0
2018-01-04,133.18,133.75,132.36,132.4,132.4,1195500.0
2018-01-03,131.44,132.78,131.44,132.4,132.4,1308100.0
2018-01-02,136.3,136.3,131.46,131.98,131.98,2388800.0
2017-12-29,136.02,136.49,135.28,135.64,135.64,827600.0
2017-12-28,135.25,135.7,134.79,135.66,135.66,698700.0
2017-12-27,134.93,135.14,134.29,134.77,134.77,945400.0
2017-12-26,134.9,135.61,134.16,134.78,134.78,564600.0
2017-12-22,134.7,134.86,133.91,134.39,134.39,878600.0
2017-12-21,135.88,136.2,131.44,134.44,134.44,937400.0
2017-12-20,136.45,136.45,134.8,135.26,135.26,1070200.0
2017-12-19,136.01,136.61,134.93,135.54,135.54,1393000.0
2017-12-18,135.6,137.29,134.69,135.21,135.21,1692800.0
2017-12-15,133.23,135.35,132.91,134.89,134.89,3170700.0
2017-12-14,134.0,134.17,131.85,132.58,132.58,1278700.0
2017-12-13,134.37,134.37,133.22,133.56,133.56,1328600.0
2017-12-12,132.82,134.6,132.76,134.35,134.35,1404700.0
2017-12-11,133.92,133.99,132.54,133.16,133.16,1068700.0
2017-12-08,133.76,133.81,132.81,133.75,133.75,1085300.0
2017-12-07,134.8,135.14,133.95,134.21,133.49,1081200.0
2017-12-06,135.72,136.15,135.11,135.36,134.63,1044800.0
2017-12-05,135.62,137.25,135.12,135.32,134.59,1463900.0
2017-12-04,136.42,137.95,135.81,136.36,135.63,2188000.0
2017-12-01,136.26,136.44,134.1,136.21,135.48,2548800.0
2017-11-30,135.21,136.48,133.82,135.57,134.84,2193900.0
