date,open,high,low,close,adjclose,volume
2018-01-12,227.45,229.9,226.52,228.64,228.64,3914500.0
2018-01-11,224.18,225.92,223.7,225.39,225.39,2543600.0
2018-01-10,224.83,225.01,223.03,224.2,224.2,2311600.0
2018-01-09,224.76,226.63,223.3,225.88,225.88,2672200.0
2018-01-08,228.13,228.71,224.61,224.76,224.76,2850800.0
2018-01-05,225.19,229.05,224.72,228.73,228.73,2432800.0
2018-01-04,224.34,226.1,224.17,224.45,224.45,2749100.0
2018-01-03,221.62,223.81,220.52,223.48,223.48,2417600.0
2018-01-02,221.02,222.45,220.0,221.16,221.16,3485000.0
2017-12-29,223.95,223.95,220.46,220.46,220.46,2350200.0
2017-12-28,221.46,222.79,220.15,222.77,222.77,1452600.0
2017-12-27,219.98,221.44,219.25,220.42,220.42,1861900.0
2017-12-26,219.09,220.42,219.09,219.6,219.6,1482400.0
2017-12-22,222.0,222.35,218.45,220.0,220.0,1959700.0
2017-12-21,223.12,223.94,221.37,221.69,221.69,2955300.0
2017-12-20,223.11,224.89,221.73,222.38,222.38,2633200.0
2017-12-19,222.99,223.79,220.85,222.04,222.04,2340200.0
2017-12-18,222.6,224.81,222.19,222.67,222.67,3194100.0
2017-12-15,223.75,223.75,220.63,221.82,221.82,6293400.0
2017-12-14,225.0,226.97,221.01,221.25,221.25,2811700.0
2017-12-13,221.74,224.95,221.23,224.35,224.35,3059400.0
2017-12-12,221.4,223.42,221.26,222.49,222.49,2294100.0
2017-12-11,222.51,224.82,222.04,222.77,222.77,1599500.0
2017-12-08,220.55,224.33,220.22,223.91,223.91,2233300.0
2017-12-07,220.59,220.61,218.19,220.15,220.15,2661600.0
2017-12-06,221.02,221.96,219.03,219.94,219.94,2397500.0
2017-12-05,221.0,223.72,219.16,220.09,220.09,3246300.0
2017-12-04,229.26,231.77,221.4,221.42,221.42,5591500.0
2017-12-01,228.89,229.22,221.08,226.78,226.78,3325800.0
2017-11-30,223.83,228.75,222.29,228.17,228.17,6846400.0
2017-11-29,217.7,224.27,217.36,222.88,222.13,4247200.0
2017-11-28,213.88,216.31,212.51,216.14,215.41,2905700.0
2017-11-27,212.25,214.25,211.81,212.4,211.69,2856300.0
2017-11-24,212.0,212.93,211.0,212.51,211.79,744000.0
2017-11-22,212.26,212.81,210.76,211.22,210.51,2257800.0
2017-11-21,211.13,212.85,210.75,212.6,211.88,2327200.0
2017-11-20,210.0,210.68,209.58,210.25,209.54,2040400.0
2017-11-17,210.46,211.46,209.15,209.9,209.19,1887500.0
2017-11-16,210.38,212.01,209.9,211.13,210.42,1919600.0
2017-11-15,210.88,211.98,209.62,209.86,209.15,1816300.0
2017-11-14,212.21,212.7,210.92,211.71,211.0,1993900.0
2017-11-13,210.31,213.54,209.94,212.66,211.94,2662200.0
2017-11-10,211.46,211.81,210.2,211.07,210.36,1384700.0
2017-11-09,210.59,211.76,209.13,211.56,210.85,1839700.0
2017-11-08,212.08,212.93,210.7,210.77,210.06,2261100.0
2017-11-07,212.74,213.54,210.89,212.7,211.98,1845800.0
2017-11-06,211.91,213.93,211.8,212.12,211.41,2293700.0
2017-11-03,210.72,213.83,210.1,212.87,212.15,2196900.0
2017-11-02,210.11,211.49,209.01,211.1,210.39,2825900.0
2017-11-01,211.62,212.63,208.92,209.53,208.82,1902900.0
2017-10-31,209.39,210.52,207.8,210.22,209.51,3749600.0
2017-10-30,212.21,212.77,209.38,209.39,208.69,2477400.0
