date,open,high,low,close,adjclose,volume
2018-01-12,135.61,136.58,135.23,136.58,136.58,5196600.0
2018-01-11,134.75,136.26,134.75,134.99,134.99,4804200.0
2018-01-10,134.12,135.49,133.75,134.9,134.9,3282900.0
2018-01-09,133.32,134.46,133.03,134.27,134.27,4231900.0
2018-01-08,135.19,135.79,132.2,132.82,132.82,6624800.0
2018-01-05,131.1,132.36,130.46,131.57,131.57,3672400.0
2018-01-04,130.82,130.87,130.2,130.45,130.45,3663100.0
2018-01-03,129.49,130.2,129.32,130.04,130.04,5008800.0
2018-01-02,127.9,128.88,127.17,128.16,128.16,3095400.0
2017-12-29,128.32,128.49,127.57,127.57,127.57,1806900.0
2017-12-28,127.73,128.17,127.29,128.12,128.12,1413000.0
2017-12-27,127.46,127.61,126.92,127.58,127.58,1810800.0
2017-12-26,127.45,127.94,126.99,127.14,127.14,1052700.0
2017-12-22,127.52,127.6,126.95,127.23,127.23,1604500.0
2017-12-21,127.25,127.56,126.85,127.31,127.31,3023900.0
2017-12-20,127.37,127.89,126.29,127.0,127.0,3270800.0
2017-12-19,127.21,127.21,125.63,126.78,126.78,3643100.0
2017-12-18,126.74,127.54,126.27,126.71,126.71,4225100.0
2017-12-15,124.8,126.44,124.16,126.17,126.17,6193600.0
2017-12-14,124.51,124.87,123.4,123.76,123.76,3033600.0
2017-12-13,123.5,124.71,123.28,124.3,124.3,5207100.0
2017-12-12,123.53,124.16,122.97,123.48,123.48,3528300.0
2017-12-11,122.93,123.53,122.5,123.3,123.3,3137500.0
2017-12-08,122.4,123.09,122.26,122.81,122.81,2999700.0
2017-12-07,121.32,122.83,121.06,122.4,122.4,3608300.0
2017-12-06,121.16,121.4,120.37,121.2,121.2,2607400.0
2017-12-05,121.99,122.53,120.2,120.29,120.29,3149300.0
2017-12-04,121.18,121.93,120.02,120.04,120.04,2756900.0
2017-12-01,121.66,121.95,118.79,120.12,120.12,3881800.0
2017-11-30,118.93,121.75,118.61,121.45,121.45,5374400.0
2017-11-29,117.84,118.46,117.67,118.16,118.16,2769300.0
2017-11-28,117.45,118.02,116.9,117.71,117.71,2733700.0
2017-11-27,116.82,117.22,116.44,117.12,117.12,2569500.0
2017-11-24,117.0,117.16,116.35,116.91,116.91,1486400.0
2017-11-22,117.0,117.19,116.55,116.73,116.73,2860600.0
