date,open,high,low,close,adjclose,volume
2018-01-12,51.94,52.24,51.78,51.86,51.86,17645600.0
2018-01-11,51.89,52.18,51.64,52.11,52.11,15568200.0
2018-01-10,51.39,51.73,51.15,51.69,51.69,12593400.0
2018-01-09,52.12,52.44,51.55,51.61,51.61,14677800.0
2018-01-08,52.56,52.75,52.04,52.39,51.8,16212700.0
2018-01-05,52.8,52.88,52.35,52.48,51.89,13348900.0
2018-01-04,52.37,52.89,51.83,52.6,52.01,12062800.0
2018-01-03,53.3,53.34,52.18,52.43,51.84,16662400.0
2018-01-02,53.16,53.57,52.8,53.53,52.93,16045300.0
2017-12-29,53.37,53.46,52.93,52.93,52.33,9994700.0
2017-12-28,53.41,53.55,53.16,53.43,52.83,6726300.0
2017-12-27,53.41,53.5,53.09,53.28,52.68,8361900.0
2017-12-26,53.13,53.69,53.13,53.22,52.62,6595800.0
2017-12-22,53.11,53.63,53.06,53.19,52.59,13657800.0
2017-12-21,52.81,53.6,52.61,53.01,52.41,12778100.0
2017-12-20,53.11,53.35,52.68,52.77,52.18,11643500.0
2017-12-19,53.27,53.59,52.7,52.83,52.24,14239500.0
2017-12-18,52.94,53.39,52.66,53.25,52.65,15874300.0
2017-12-15,52.57,52.89,52.39,52.67,52.08,28935600.0
2017-12-14,52.6,52.74,52.09,52.34,51.75,18775400.0
2017-12-13,52.99,53.19,52.28,52.89,52.29,17705500.0
2017-12-12,53.15,53.34,52.33,53.19,52.59,22901200.0
2017-12-11,51.29,51.93,50.97,51.84,51.26,13542500.0
2017-12-08,50.54,51.18,50.36,51.09,50.51,13639900.0
2017-12-07,50.59,50.74,50.2,50.42,49.85,11986700.0
2017-12-06,50.4,50.84,50.24,50.68,50.11,17296600.0
2017-12-05,51.25,51.89,50.78,50.92,50.35,17574100.0
2017-12-04,51.52,52.33,51.5,51.72,51.14,19371000.0
2017-12-01,50.9,51.55,50.33,51.25,50.67,23909000.0
2017-11-30,50.0,51.09,49.99,50.89,50.32,33268500.0
2017-11-29,48.84,50.49,48.84,49.9,49.34,31034500.0
2017-11-28,47.7,48.84,47.53,48.82,48.27,20982500.0
2017-11-27,47.37,47.9,47.35,47.66,47.12,17548300.0
2017-11-24,47.06,47.18,46.85,47.01,46.48,5097200.0
