date,open,high,low,close,adjclose,volume
2018-01-12,100.39,101.44,100.3,100.87,100.87,6907200.0
2018-01-11,99.7,100.45,98.78,100.02,100.02,6537700.0
2018-01-10,99.75,99.89,98.53,99.67,99.67,7930400.0
2018-01-09,102.03,102.35,100.31,100.39,100.39,7312700.0
2018-01-08,100.25,101.75,100.21,101.61,101.61,8843900.0
2018-01-05,99.64,100.38,99.61,100.13,100.13,7284000.0
2018-01-04,99.54,99.78,98.91,99.54,99.54,6830400.0
2018-01-03,98.85,100.0,98.77,99.45,99.45,8903600.0
2018-01-02,99.3,99.79,98.52,98.59,98.59,10150500.0
2017-12-29,99.4,99.69,98.75,98.75,98.75,7144300.0
2017-12-28,99.52,99.62,99.12,99.4,99.4,9763900.0
2017-12-27,99.56,99.6,98.83,99.26,99.26,5140800.0
2017-12-26,98.35,99.44,98.35,99.16,99.16,4295900.0
2017-12-22,98.29,98.42,97.68,98.21,98.21,5478700.0
2017-12-21,99.0,99.33,97.98,98.06,98.06,7369100.0
2017-12-20,99.45,99.65,98.45,98.75,98.75,10729800.0
2017-12-19,99.91,99.91,98.29,98.8,98.8,12012200.0
2017-12-18,97.38,98.17,97.36,97.9,97.9,7964400.0
2017-12-15,97.71,98.49,96.91,97.11,97.11,16142800.0
2017-12-14,98.0,98.57,97.1,97.13,97.13,9385800.0
2017-12-13,96.66,97.91,96.55,97.76,97.76,7879400.0
2017-12-12,96.85,97.24,96.6,96.7,96.7,7810600.0
2017-12-11,96.96,97.27,96.29,96.93,96.93,8928900.0
2017-12-08,96.3,96.7,96.14,96.55,96.55,5821100.0
2017-12-07,97.06,97.58,96.65,96.78,96.78,7502600.0
2017-12-06,97.99,98.14,97.24,97.28,96.77,7141000.0
2017-12-05,97.0,97.94,96.92,97.83,97.32,9010100.0
2017-12-04,97.73,97.96,96.68,97.01,96.5,8956500.0
2017-12-01,97.61,97.71,96.23,97.35,96.84,8296200.0
2017-11-30,98.09,98.44,96.51,97.23,96.72,12854700.0
2017-11-29,97.22,98.26,96.88,97.56,97.05,11424000.0
2017-11-28,96.59,96.89,95.82,96.77,96.26,8709600.0
2017-11-27,96.85,97.65,96.3,96.62,96.11,8904900.0
2017-11-24,96.87,97.23,96.53,96.62,96.11,4496100.0
2017-11-22,96.65,96.81,96.11,96.41,95.9,8918200.0
2017-11-21,97.74,97.92,96.32,96.52,96.01,12746500.0
2017-11-20,96.44,97.64,95.76,97.48,96.97,16394300.0
2017-11-17,99.24,100.13,96.58,97.47,96.96,23575500.0
2017-11-16,95.12,99.68,94.72,99.62,99.1,38122400.0
2017-11-15,90.34,90.85,89.65,89.83,89.36,8433400.0
2017-11-14,90.7,91.2,90.18,91.09,90.61,9834100.0
2017-11-13,91.04,91.98,90.87,90.99,90.51,8491600.0
2017-11-10,90.24,91.69,90.2,90.92,90.44,7647800.0
2017-11-09,89.94,90.57,89.35,90.3,89.83,6904500.0
2017-11-08,89.11,90.42,89.1,90.26,89.79,6767500.0
2017-11-07,88.87,89.06,88.31,88.95,88.48,5349300.0
2017-11-06,89.42,89.68,88.68,88.7,88.23,5257400.0
