date,open,high,low,close,adjclose,volume
2018-01-12,87.2,87.99,87.18,87.52,87.52,9804900.0
2018-01-11,86.36,87.37,85.93,86.93,86.93,14366000.0
2018-01-10,87.0,87.19,85.98,86.08,86.08,10822300.0
2018-01-09,86.94,87.15,86.65,86.77,86.77,8131600.0
2018-01-08,86.7,87.15,86.6,87.14,87.14,10927100.0
2018-01-05,86.75,86.88,85.71,86.75,86.75,11047600.0
2018-01-04,86.79,87.22,86.43,86.82,86.82,10863000.0
2018-01-03,85.16,86.97,84.82,86.7,86.7,13957700.0
2018-01-02,83.82,85.2,83.66,85.03,85.03,11469300.0
2017-12-29,84.0,84.2,83.64,83.64,83.64,8523400.0
2017-12-28,83.98,84.05,83.8,84.02,84.02,7495300.0
2017-12-27,83.99,84.1,83.74,83.9,83.9,7000600.0
2017-12-26,83.96,84.36,83.9,83.98,83.98,4777200.0
2017-12-22,83.88,84.02,83.6,83.97,83.97,10161400.0
2017-12-21,83.35,84.27,82.96,83.85,83.85,13578100.0
2017-12-20,82.6,83.14,82.52,82.87,82.87,10620300.0
2017-12-19,83.03,83.17,82.33,82.44,82.44,10285100.0
2017-12-18,83.18,83.67,82.91,82.94,82.94,9363500.0
2017-12-15,83.16,83.28,82.87,83.03,83.03,26582300.0
2017-12-14,83.03,83.33,82.89,82.9,82.9,9492400.0
2017-12-13,82.61,83.3,82.48,83.12,83.12,10172700.0
2017-12-12,82.89,83.38,82.7,82.76,82.76,11307000.0
2017-12-11,83.04,83.25,82.74,83.03,83.03,8760700.0
2017-12-08,82.49,82.9,82.26,82.66,82.66,11988600.0
2017-12-07,82.4,82.62,82.17,82.55,82.55,11359600.0
2017-12-06,82.85,83.2,82.21,82.28,82.28,13398900.0
2017-12-05,83.41,83.77,82.71,82.89,82.89,9357200.0
2017-12-04,83.21,84.18,83.0,83.57,83.57,12597700.0
2017-12-01,83.44,84.13,82.41,83.46,83.46,13779300.0
2017-11-30,82.45,83.4,82.41,83.29,83.29,18592700.0
2017-11-29,81.65,82.31,81.48,82.27,82.27,9725000.0
2017-11-28,81.41,82.0,81.31,81.67,81.67,9794600.0
2017-11-27,81.32,81.4,81.02,81.11,81.11,9127500.0
2017-11-24,81.44,81.7,81.22,81.42,81.42,3851300.0
2017-11-22,81.16,81.41,81.05,81.1,81.1,7941600.0
2017-11-21,80.69,81.25,80.64,80.87,80.87,8838400.0
2017-11-20,80.23,80.64,80.01,80.55,80.55,8468600.0
2017-11-17,80.32,80.66,80.16,80.24,80.24,9536400.0
2017-11-16,80.44,80.85,80.15,80.56,80.56,10527200.0
2017-11-15,81.75,82.09,81.15,81.21,81.21,9663600.0
2017-11-14,82.42,82.75,82.09,82.24,82.24,9251700.0
2017-11-13,82.65,83.09,82.6,82.89,82.89,6720400.0
2017-11-10,83.01,83.08,82.42,82.94,82.94,8693700.0
2017-11-09,83.3,84.14,83.08,83.97,83.2,10528800.0
2017-11-08,83.36,83.5,82.86,83.47,82.7,8691600.0
2017-11-07,83.74,83.82,83.03,83.58,82.81,8471800.0
2017-11-06,83.3,83.87,83.06,83.75,82.98,9276700.0
2017-11-03,83.42,83.64,83.16,83.18,82.42,6903500.0
2017-11-02,83.6,83.71,82.91,83.53,82.76,7775500.0
2017-11-01,83.39,83.94,83.26,83.87,83.1,9430000.0
2017-10-31,83.65,83.68,83.17,83.35,82.59,9754200.0
2017-10-30,83.71,83.95,83.41,83.54,82.77,7811100.0
2017-10-27,83.0,84.24,82.01,83.71,82.94,14866200.0
2017-10-26,83.37,83.65,83.11,83.47,82.7,9154500.0
2017-10-25,83.45,83.73,82.95,83.17,82.41,9153300.0
2017-10-24,83.55,83.81,83.31,83.47,82.7,7551200.0
2017-10-23,83.15,83.76,83.04,83.24,82.48,9829900.0
2017-10-20,82.85,83.13,82.62,83.11,82.35,9574100.0
2017-10-19,82.35,83.05,82.33,82.74,81.98,7945500.0
2017-10-18,82.96,83.39,82.54,82.76,82.0,6367100.0
2017-10-17,82.63,82.97,82.54,82.96,82.2,6444100.0
2017-10-16,82.7,82.95,82.54,82.81,82.05,5734000.0
2017-10-13,82.73,83.08,82.36,82.41,81.65,7180000.0
2017-10-12,82.31,82.5,82.17,82.43,81.67,6647500.0
2017-10-11,82.16,82.74,82.14,82.6,81.84,7023700.0
2017-10-10,82.34,82.74,82.09,82.26,81.51,7218500.0
2017-10-09,81.84,82.18,81.76,82.03,81.28,7489900.0
2017-10-06,81.77,81.89,81.36,81.71,80.96,6070600.0
2017-10-05,81.72,82.24,81.59,82.02,81.27,7375900.0
2017-10-04,81.8,81.87,81.45,81.79,81.04,6357100.0
2017-10-03,81.41,81.97,81.3,81.76,81.01,6082000.0
2017-10-02,81.3,81.82,81.25,81.63,80.88,6777900.0
2017-09-29,81.94,82.06,81.58,81.98,81.23,9944000.0
2017-09-28,81.63,82.45,81.56,82.19,81.44,15581700.0
2017-09-27,80.89,81.45,80.79,81.43,80.68,9724500.0
2017-09-26,80.71,81.0,80.56,80.89,80.15,8755100.0
2017-09-25,80.03,81.0,79.98,80.98,80.24,10496600.0
2017-09-22,79.72,80.3,79.67,79.92,79.19,10205800.0
2017-09-21,80.49,80.53,79.76,79.89,79.16,11984200.0
2017-09-20,80.28,80.66,80.26,80.55,79.81,10606900.0
2017-09-19,80.06,80.39,79.99,80.22,79.48,9277100.0
2017-09-18,79.79,80.14,79.7,80.09,79.36,8594400.0
2017-09-15,80.12,80.21,79.55,80.07,79.34,16043700.0
2017-09-14,79.85,80.23,79.77,80.09,79.36,9072600.0
2017-09-13,79.5,79.77,79.38,79.77,79.04,8369700.0
2017-09-12,79.4,79.69,79.24,79.5,78.77,7644400.0
2017-09-11,79.41,79.42,78.9,79.25,78.52,12955800.0
2017-09-08,79.01,79.04,78.63,78.82,78.1,8436000.0
