company,exchange,symbol,industry,dateAdded,notes
3M,NYSE,MMM,Conglomerate,1976-08-09,as Minnesota Mining and Manufacturing
American Express,NYSE,AXP,Consumer finance,1982-08-30,
Apple,NASDAQ,AAPL,Consumer electronics,2015-03-19,
Boeing,NYSE,BA,Aerospace and defense,1987-03-12,
Caterpillar,NYSE,CAT,Construction and mining equipment,1991-05-06,
Chevron,NYSE,CVX,Oil & gas,2008-02-19,also 1930-07-18 to 1999-11-01
Cisco Systems,NASDAQ,CSCO,Computer networking,2009-06-08,
Coca-Cola,NYSE,KO,Beverages,1987-03-12,also 1932-05-26 to 1935-11-20
DowDuPont,NYSE,DWDP,Chemical industry,2017-09-01,
ExxonMobil,NYSE,XOM,Oil & gas,1928-10-01,as Standard Oil of New Jersey
General Electric,NYSE,GE,Conglomerate,1907-11-07,also 1896-05-26 to 1898-10 and 1899-04-21 to 1901-04-01
Goldman Sachs,NYSE,GS,"Banking, Financial services",2013-09-20,
The Home Depot,NYSE,HD,Home improvement retailer,1999-11-01,
IBM,NYSE,IBM,Computers and technology,1979-06-29,also 1932-05-26 to 1939-03-04
Intel,NASDAQ,INTC,Semiconductors,1999-11-01,
Johnson & Johnson,NYSE,JNJ,Pharmaceuticals,1997-03-17,
JPMorgan Chase,NYSE,JPM,Banking,1991-05-06,
McDonald's,NYSE,MCD,Fast food,1985-10-30,
Merck,NYSE,MRK,Pharmaceuticals,1979-06-29,
Microsoft,NASDAQ,MSFT,Software,1999-11-01,
Nike,NYSE,NKE,Apparel,2013-09-20,
Pfizer,NYSE,PFE,Pharmaceuticals,2004-04-08,
Procter & Gamble,NYSE,PG,Consumer goods,1932-05-26,
Travelers,NYSE,TRV,Insurance,2009-06-08,
UnitedHealth Group,NYSE,UNH,Managed health care,2012-09-24,
United Technologies,NYSE,UTX,Conglomerate,1939-03-14,as United Aircraft
Verizon,NYSE,VZ,Telecommunication,2004-04-08,
Visa,NYSE,V,Consumer banking,2013-09-20,
Walmart,NYSE,WMT,Retail,1997-03-17,
Walt Disney,NYSE,DIS,Broadcasting and entertainment,1991-05-06,

